scope,position,item,count,frequency_within_position
token_internal_glyph,medial,Lb,12,0.00021035655435963958
token_internal_glyph,medial,W1,11,0.0001928268414963363
token_internal_glyph,medial,X1,10,0.000175297128633033
token_internal_glyph,medial,B4,8,0.0001402377029064264
token_internal_glyph,medial,G2,8,0.0001402377029064264
token_internal_glyph,medial,S1,8,0.0001402377029064264
token_internal_glyph,medial,V1,8,0.0001402377029064264
token_internal_glyph,medial,N1,7,0.0001227079900431231
token_internal_glyph,medial,B5,6,0.00010517827717981979
token_internal_glyph,medial,Ka,6,0.00010517827717981979
token_internal_glyph,medial,T3,6,0.00010517827717981979
token_internal_glyph,medial,Tb,6,0.00010517827717981979
token_internal_glyph,medial,E2,5,8.76485643165165e-05
token_internal_glyph,medial,V2,5,8.76485643165165e-05
token_internal_glyph,medial,Lg,4,7.01188514532132e-05
token_internal_glyph,medial,S2,4,7.01188514532132e-05
token_internal_glyph,medial,Ac,3,5.2589138589909894e-05
token_internal_glyph,medial,B6,3,5.2589138589909894e-05
token_internal_glyph,medial,Ch,3,5.2589138589909894e-05
token_internal_glyph,medial,H1,3,5.2589138589909894e-05
token_internal_glyph,medial,Ja,3,5.2589138589909894e-05
token_internal_glyph,medial,Jb,3,5.2589138589909894e-05
token_internal_glyph,medial,Kb,3,5.2589138589909894e-05
token_internal_glyph,medial,Ke,3,5.2589138589909894e-05
token_internal_glyph,medial,Sa,3,5.2589138589909894e-05
token_internal_glyph,medial,T4,3,5.2589138589909894e-05
token_internal_glyph,medial,U5,3,5.2589138589909894e-05
token_internal_glyph,medial,Ae,2,3.50594257266066e-05
token_internal_glyph,medial,H3,2,3.50594257266066e-05
token_internal_glyph,medial,Jc,2,3.50594257266066e-05
token_internal_glyph,medial,Ma,2,3.50594257266066e-05
token_internal_glyph,medial,Tc,2,3.50594257266066e-05
token_internal_glyph,medial,Va,2,3.50594257266066e-05
token_internal_glyph,medial,Wa,2,3.50594257266066e-05
token_internal_glyph,medial,Ba,1,1.75297128633033e-05
token_internal_glyph,medial,Bf,1,1.75297128633033e-05
token_internal_glyph,medial,Bj,1,1.75297128633033e-05
token_internal_glyph,medial,Ci,1,1.75297128633033e-05
token_internal_glyph,medial,Ee,1,1.75297128633033e-05
token_internal_glyph,medial,Kf,1,1.75297128633033e-05
token_internal_glyph,medial,Kk,1,1.75297128633033e-05
token_internal_glyph,medial,Lh,1,1.75297128633033e-05
token_internal_glyph,medial,Mb,1,1.75297128633033e-05
token_internal_glyph,medial,Mc,1,1.75297128633033e-05
token_internal_glyph,medial,Pd,1,1.75297128633033e-05
token_internal_glyph,medial,Pi,1,1.75297128633033e-05
token_internal_glyph,medial,Pk,1,1.75297128633033e-05
token_internal_glyph,medial,Pl,1,1.75297128633033e-05
token_internal_glyph,medial,Qe,1,1.75297128633033e-05
token_internal_glyph,medial,Qg,1,1.75297128633033e-05
token_internal_glyph,medial,Ql,1,1.75297128633033e-05
token_internal_glyph,medial,Rb,1,1.75297128633033e-05
token_internal_glyph,medial,Rc,1,1.75297128633033e-05
token_internal_glyph,medial,Sb,1,1.75297128633033e-05
token_internal_glyph,medial,Sd,1,1.75297128633033e-05
token_internal_glyph,medial,Se,1,1.75297128633033e-05
