source_id,language,variant_count,seed,master_key_sha256,reserved_test_encoded,train_active_suffix_count,train_active_suffix_counts_json,train_base_form_preservation_fraction,train_base_form_recovery_accuracy,train_cipher_glyph_alphabet_size,train_exact_cipher_token_recurrence_fraction,train_max_realized_surface_forms_per_plaintext_word,train_mean_realized_surface_forms_per_plaintext_word_present,train_plaintext_types_with_multiple_observed_base_forms,train_round_trip_accuracy,train_same_surface_probability_given_same_plaintext_word,train_suffix_entropy_bits,train_suffix_entropy_fraction_of_max,train_token_coverage_fraction,train_token_length_plus_one_accuracy,train_tokens,train_unique_cipher_tokens,train_unique_plaintext_word_types,validation_active_suffix_count,validation_active_suffix_counts_json,validation_base_form_preservation_fraction,validation_base_form_recovery_accuracy,validation_cipher_glyph_alphabet_size,validation_exact_cipher_token_recurrence_fraction,validation_max_realized_surface_forms_per_plaintext_word,validation_mean_realized_surface_forms_per_plaintext_word_present,validation_plaintext_types_with_multiple_observed_base_forms,validation_round_trip_accuracy,validation_same_surface_probability_given_same_plaintext_word,validation_suffix_entropy_bits,validation_suffix_entropy_fraction_of_max,validation_token_coverage_fraction,validation_token_length_plus_one_accuracy,validation_tokens,validation_unique_cipher_tokens,validation_unique_plaintext_word_types
german_rem_v21,German,2,40814041441,31ee1a0a9dd94a1540671895560eb2352d4c3d3b87da4f49a244f4918ec812f2,False,2,"{""V0002"": 7063, ""V0004"": 7074}",1.0,1.0,46,0.69979486453986,2,1.2721822541966428,0,1.0,0.499716789653382,0.9999995632675707,0.9999995632675707,1.0,1.0,14137,4244,3336,2,"{""V0002"": 1483, ""V0004"": 1480}",1.0,1.0,42,0.5237934525818427,2,1.197792869269949,0,1.0,0.497828447339848,0.9999992605244417,0.9999992605244417,1.0,1.0,2963,1411,1178
german_rem_v21,German,2,40814041442,effd6dff2eb82be44f5144da92aea17546d49318cee191d360e79eb2b08998a6,False,2,"{""V0001"": 7060, ""V0003"": 7077}",1.0,1.0,46,0.6998656009054255,2,1.2718824940047961,0,1.0,0.4989359944616643,0.999998956895126,0.999998956895126,1.0,1.0,14137,4243,3336,2,"{""V0001"": 1482, ""V0003"": 1481}",1.0,1.0,42,0.5180560242996962,2,1.2122241086587435,0,1.0,0.5020810712993123,0.9999999178360615,0.9999999178360615,1.0,1.0,2963,1428,1178
german_rem_v21,German,4,40814041438,c37d5c2787574baa2e44f4abc0b9f834e6b0edd1ad11d779a079137ef8ae904c,False,4,"{""V0001"": 3560, ""V0002"": 3623, ""V0003"": 3540, ""V0004"": 3414}",1.0,1.0,48,0.6260168352550046,4,1.584832134292566,0,1.0,0.2502419088377362,1.9996660208821946,0.9998330104410973,1.0,1.0,14137,5287,3336,4,"{""V0001"": 768, ""V0002"": 716, ""V0003"": 735, ""V0004"": 744}",1.0,1.0,44,0.4357070536618292,4,1.4193548387096775,0,1.0,0.25072385088671734,1.9995409279250453,0.9997704639625227,1.0,1.0,2963,1672,1178
german_rem_v21,German,4,40814041439,a25f75425bd61001e06bc4939d6baa2d22d7350fcff0def30960e1d520500440,False,4,"{""V0001"": 3476, ""V0002"": 3536, ""V0003"": 3622, ""V0004"": 3503}",1.0,1.0,48,0.6264412534483979,4,1.5830335731414868,0,1.0,0.25053888635398147,1.9998262961641728,0.9999131480820864,1.0,1.0,14137,5281,3336,4,"{""V0001"": 762, ""V0002"": 750, ""V0003"": 726, ""V0004"": 725}",1.0,1.0,44,0.4326695916301046,4,1.4269949066213923,0,1.0,0.25126673905175534,1.9996708924845952,0.9998354462422976,1.0,1.0,2963,1681,1178
german_rem_v21,German,4,40814041440,cffa07927909bff8b741f6b9bb216d0ca07baa2e4bf7c38137cdf287ddf84160,False,4,"{""V0001"": 3543, ""V0002"": 3457, ""V0003"": 3563, ""V0004"": 3574}",1.0,1.0,48,0.6269364080073566,4,1.580935251798561,0,1.0,0.24984266091854557,1.9998774763634062,0.9999387381817031,1.0,1.0,14137,5274,3336,4,"{""V0001"": 766, ""V0002"": 738, ""V0003"": 703, ""V0004"": 756}",1.0,1.0,44,0.4326695916301046,4,1.4269949066213923,0,1.0,0.2515834238146942,1.9992378799365733,0.9996189399682867,1.0,1.0,2963,1681,1178
german_rem_v21,German,4,40814041441,31ee1a0a9dd94a1540671895560eb2352d4c3d3b87da4f49a244f4918ec812f2,False,4,"{""V0001"": 3525, ""V0002"": 3581, ""V0003"": 3482, ""V0004"": 3549}",1.0,1.0,48,0.6259460988894391,4,1.5851318944844124,0,1.0,0.24958305143414572,1.9999246004522977,0.9999623002261488,1.0,1.0,14137,5288,3336,4,"{""V0001"": 753, ""V0002"": 714, ""V0003"": 769, ""V0004"": 727}",1.0,1.0,44,0.4434694566317921,4,1.399830220713073,0,1.0,0.24855229822656533,1.9993913536454104,0.9996956768227052,1.0,1.0,2963,1649,1178
german_rem_v21,German,4,40814041442,effd6dff2eb82be44f5144da92aea17546d49318cee191d360e79eb2b08998a6,False,4,"{""V0001"": 3586, ""V0002"": 3474, ""V0003"": 3503, ""V0004"": 3574}",1.0,1.0,48,0.6277145080285775,4,1.5776378896882495,0,1.0,0.2499390311059364,1.9998719460273888,0.9999359730136944,1.0,1.0,14137,5263,3336,4,"{""V0001"": 756, ""V0002"": 726, ""V0003"": 740, ""V0004"": 741}",1.0,1.0,44,0.4272696591292609,4,1.4405772495755518,0,1.0,0.24678791169019182,1.9998518981645423,0.9999259490822712,1.0,1.0,2963,1697,1178
italian_old_ud218,Italian,1,40814041438,c3b861c1f7e877f10b9afba15f49f1c7ec091fb4ab69def4270450efd3531ccd,False,1,"{""V0004"": 14022}",1.0,1.0,29,0.7533162173727,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14022,3459,3459,1,"{""V0004"": 2825}",1.0,1.0,29,0.6123893805309735,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2825,1095,1095
italian_old_ud218,Italian,1,40814041439,a7d6fd9c627069c05a84e9ad2b592a9274026d95c9b5a02f6411b326eeed674b,False,1,"{""V0003"": 14022}",1.0,1.0,29,0.7533162173727,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14022,3459,3459,1,"{""V0003"": 2825}",1.0,1.0,29,0.6123893805309735,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2825,1095,1095
italian_old_ud218,Italian,1,40814041440,e74d6f669dd6b16fb3602e22ddde15ae0affa7b59320e13486d04af9466cb1dc,False,1,"{""V0002"": 14022}",1.0,1.0,29,0.7533162173727,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14022,3459,3459,1,"{""V0002"": 2825}",1.0,1.0,29,0.6123893805309735,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2825,1095,1095
italian_old_ud218,Italian,1,40814041441,e9a424cae47027c73ea8ee256af2d36b05805b823587905892f7ac16d1e5450b,False,1,"{""V0002"": 14022}",1.0,1.0,29,0.7533162173727,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14022,3459,3459,1,"{""V0002"": 2825}",1.0,1.0,29,0.6123893805309735,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2825,1095,1095
italian_old_ud218,Italian,1,40814041442,c39ed03ee4454a9a481c2de6f4f07692c24b2869fe1972cbf74e1860140dfc7a,False,1,"{""V0003"": 14022}",1.0,1.0,29,0.7533162173727,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14022,3459,3459,1,"{""V0003"": 2825}",1.0,1.0,29,0.6123893805309735,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2825,1095,1095
