replicate,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event
107,2.6885980585819875,2.680788494905713,0.0078095636762745
108,2.3345052398909654,2.226282818062183,0.10822242182878217
109,2.3977090964231187,2.3161297778536776,0.08157931856944112
110,2.4767759160873584,2.407699823309909,0.0690760927774492
111,2.4348948642479145,2.349465857239468,0.08542900700844624
112,2.4008141991505547,2.3200376029279064,0.08077659622264832
113,2.4384984286581104,2.3594538580399567,0.07904457061815373
114,2.598170639611534,2.5611870132024372,0.036983626409096804
115,2.8207956147487434,2.8424895591902346,-0.021693944441491197
116,2.3789986545640813,2.2974165983061123,0.081582056257969
117,2.4908431830563336,2.4182488682023124,0.07259431485402112
118,2.522824752426493,2.465931819064003,0.056892933362489906
119,2.434070066246746,2.356304107988224,0.07776595825852217
120,2.2684267253086445,2.1575074485309225,0.11091927677772206
121,2.4184285940570573,2.3551188224087207,0.06330977164833662
122,2.2724480022652287,2.166343050512346,0.10610495175288248
123,2.2535273740231965,2.148472343336038,0.10505503068715827
124,2.472460481542328,2.393396013997214,0.07906446754511398
125,2.3264873375937465,2.221117419867856,0.10536991772589044
126,2.324654148531287,2.226766842766381,0.0978873057649059
127,2.4689808727137725,2.4020054695315687,0.06697540318220385
128,2.4158229751941986,2.329679468999294,0.08614350619490452
129,2.3938777998505167,2.3119262138612524,0.08195158598926433
130,2.503380764301759,2.443299560083831,0.060081204217928175
131,2.2619892737721563,2.153804988439696,0.10818428533246038
132,2.2989774883245313,2.197288509380189,0.10168897894434226
133,2.556865736548136,2.5276131400315496,0.029252596516586404
134,2.3483654338620643,2.2684652199326685,0.07990021392939584
135,2.2968051471757795,2.19565122742191,0.10115391975386956
136,2.4616079579311405,2.390289789128702,0.07131816880243846
137,2.256819387049565,2.1406474518455987,0.11617193520396629
138,2.296596923967904,2.202108480134933,0.09448844383297095
139,2.470371610359957,2.4021017201941577,0.06826989016579921
140,2.6004391271492953,2.5666723506822002,0.03376677646709503
141,2.587734637106503,2.555117147693909,0.03261748941259368
142,2.360266264438072,2.258650489677601,0.10161577476047112
143,2.4893338269516767,2.4196806570614062,0.06965316989027048
144,2.3981878613602463,2.306834508403905,0.09135335295634128
145,2.5023139277693427,2.452995293147917,0.049318634621425606
146,2.401946127488037,2.3217670054372515,0.0801791220507857
147,2.5095450763815323,2.438567749495466,0.07097732688606628
148,2.394835583399099,2.3185790187318265,0.07625656466727238
149,2.450021987221366,2.3773014189070323,0.07272056831433371
150,2.4672396931641916,2.401871399708433,0.06536829345575867
151,2.359667677343095,2.2712177089132473,0.08844996842984765
152,2.318785178999263,2.2169039608941783,0.10188121810508477
153,2.4046472643060413,2.3104192260192242,0.09422803828681703
154,2.5431443607078457,2.4999688122898385,0.04317554841800719
155,2.414386242315717,2.3146680653546676,0.09971817696104956
156,2.3305566764596484,2.2360361988491255,0.09452047761052285
157,2.3976350422415327,2.3266900069726955,0.07094503526883722
158,2.436231518634766,2.3518330815843305,0.08439843705043559
159,2.467321867505404,2.4008355159009604,0.0664863516044436
160,2.364419317842286,2.2771797692059477,0.08723954863633843
161,2.3128003805349784,2.20727007425276,0.1055303062822186
162,2.337497405139878,2.2492444010288333,0.08825300411104475
163,2.324123910518709,2.229069369368676,0.09505454115003298
164,2.4887862274739154,2.427303662997823,0.06148256447609235
165,2.3928748540129736,2.3061999667921733,0.0866748872208003
166,2.3607387823876445,2.2720102212731907,0.08872856111445371
167,2.4193913471546216,2.3276274873022125,0.09176385985240909
168,2.496438932708837,2.4267757209351726,0.06966321177366464
169,2.278449856137473,2.180675623391352,0.09777423274612129
170,2.3961427847652748,2.3108756090109606,0.0852671757543142
171,2.3187241899141466,2.2181123356391574,0.1006118542749892
172,2.3103407803786524,2.220369018219105,0.08997176215954727
173,2.3478514666710923,2.2574226063009735,0.09042886037011888
174,2.420316483459372,2.3350313166160652,0.08528516684330656
175,2.35501325047091,2.2727315265086983,0.08228172396221156
176,2.5329530406383918,2.47946534382939,0.05348769680900167
177,2.357263132431708,2.2795263364113247,0.07773679602038319
178,2.4927729604678244,2.4088128119441814,0.08396014852364297
179,2.367396714747924,2.2755102005043253,0.0918865142435985
180,2.4373480475616285,2.365835137293705,0.0715129102679235
181,2.337302650499257,2.239123694669577,0.09817895582967973
182,2.2828755150324005,2.1768009047624437,0.10607461026995679
183,2.3098291973919802,2.21339192668821,0.0964372707037704
184,2.3109741566929807,2.211821891481309,0.09915226521167186
185,2.6130525136425837,2.5605346466000256,0.05251786704255812
186,2.410488387047912,2.3281182062781594,0.08237018076975255
187,2.3717074022779405,2.314454494735292,0.05725290754264867
188,2.5540887442053335,2.470172177764435,0.08391656644089851
189,2.4550744472886725,2.381060899332876,0.07401354795579662
190,2.5439070615609416,2.492250934706939,0.05165612685400278
191,2.508436647689835,2.446079523871411,0.0623571238184244
192,2.2561548510702356,2.152097469682796,0.10405738138743947
193,2.3398803642648,2.2472538428366002,0.09262652142819983
194,2.5963141329836334,2.5711293772460646,0.025184755737568842
195,2.320864797817719,2.2199752723440933,0.10088952547362551
196,2.375404360980777,2.2893453532451473,0.08605900773562958
197,2.2842744369568684,2.182078759527216,0.10219567742965241
198,2.382561340036149,2.3053180920725582,0.07724324796359072
199,2.228140588272929,2.1180506455633497,0.11008994270957917
200,2.4998350244626164,2.4368118143980335,0.06302321006458289
201,2.4459464452756112,2.374943065427834,0.07100337984777738
202,2.3520786744350786,2.269195794895458,0.08288287953962037
203,2.52756353497585,2.4754331831127856,0.05213035186306447
204,2.3213363825366473,2.215909786053913,0.10542659648273434
205,2.5112770770089465,2.432058428287371,0.07921864872157558
206,2.425256085252795,2.34108064594075,0.08417543931204508
207,2.5186900237522156,2.4364761520087117,0.08221387174350392
208,2.307297076090066,2.2142792555749202,0.09301782051514573
209,2.3411942819309255,2.241752364696713,0.0994419172342127
210,2.349672621212316,2.253980962296085,0.09569165891623088
211,2.3692895416107214,2.2791840761078603,0.09010546550286103
212,2.4770558948457797,2.403447518640401,0.07360837620537852
213,2.4691642887296705,2.427086941979961,0.04207734674970931
214,2.440132177439678,2.3590465688610855,0.08108560857859226
215,2.387055722022843,2.322965260255219,0.0640904617676239
216,2.3574199488033276,2.2579768959448434,0.0994430528584842
217,2.4024853184556942,2.3271038837318376,0.07538143472385661
218,2.51148693580865,2.462434115218668,0.04905282058998184
219,2.544594927314049,2.4881126544094214,0.056482272904627706
220,2.4224031629937595,2.3432201066903064,0.07918305630345301
221,2.4982074742057776,2.4244966073895857,0.07371086681619188
222,2.341814352901964,2.246931641442167,0.09488271145979699
223,2.3865267995609054,2.303775524918983,0.08275127464192256
224,2.4277032117073425,2.346394340296034,0.08130887141130838
225,2.2510457786752514,2.136163669747284,0.11488210892796724
226,2.6287808417558334,2.581747746439692,0.04703309531614153
227,2.8428055783527615,2.859902039156177,-0.017096460803415425
228,2.399949619785342,2.3273103284300922,0.07263929135524982
229,2.3797248796871333,2.2948170267788512,0.08490785290828207
230,2.47456244104864,2.3956454377373486,0.07891700331129137
231,2.694260091618557,2.6798076133161532,0.014452478302403815
232,2.717060258295359,2.7132931329250343,0.003767125370324642
233,2.4771533025487593,2.403331875819907,0.07382142672885239
234,2.4134500781734376,2.315807177754721,0.09764290041871648
235,2.377979305847547,2.299798932656012,0.07818037319153515
236,2.4464504791717374,2.382766132924291,0.06368434624744657
237,2.3923281277934114,2.303113991407334,0.08921413638607723
238,2.367570089980526,2.2670756904268425,0.10049439955368333
239,2.376100197572437,2.2916383847890383,0.08446181278339893
240,2.318746897735284,2.215538674135557,0.1032082235997267
241,2.350878822778513,2.26210760271605,0.0887712200624633
242,2.3653877510366668,2.2735411888124615,0.09184656222420529
243,2.37254025962079,2.284181529624144,0.08835872999664618
244,2.29525648385741,2.184963446948301,0.11029303690910908
245,2.502708663423124,2.450714820464538,0.051993842958586
246,2.3040941385557088,2.205404034896074,0.0986901036596346
