condition,omitted_leaf_groups,feature,outcome,n_used,n_missing,pearson_r,spearman_rho,p_values_computed,confirmatory_interpretation_permitted
without_f57,f57,initial_given_final_conditional_entropy_bits,boundary_boost_bits_per_event,14,0,-0.063507344194275,-0.15604395604395604,False,False
without_f57,f57,final_given_initial_conditional_entropy_bits,boundary_boost_bits_per_event,14,0,0.44868916350339483,0.5032967032967033,False,False
without_f57,f57,final_initial_mutual_information_bits,boundary_boost_bits_per_event,14,0,0.28719119514952984,0.27472527472527475,False,False
without_f57,f57,normalized_mutual_information_joint_fraction,boundary_boost_bits_per_event,14,0,0.21065089723646516,0.26593406593406593,False,False
without_f57,f57,distinct_final_glyphs,boundary_boost_bits_per_event,14,0,0.4531573936435986,0.40229114064090676,False,False
without_f57,f57,distinct_initial_glyphs,boundary_boost_bits_per_event,14,0,0.10715110354272807,0.048946934488304734,False,False
without_f57,f57,distinct_boundary_pairs,boundary_boost_bits_per_event,14,0,0.2321074362188861,0.30143032541618203,False,False
without_f57,f57,effective_final_glyphs,boundary_boost_bits_per_event,14,0,0.49034298667761506,0.512087912087912,False,False
without_f57,f57,effective_initial_glyphs,boundary_boost_bits_per_event,14,0,0.22834242258040088,0.2923076923076923,False,False
without_f57,f57,effective_boundary_pairs,boundary_boost_bits_per_event,14,0,0.4565019892784086,0.5516483516483517,False,False
without_f57,f57,possible_boundary_pairs_from_observed_marginals,boundary_boost_bits_per_event,14,0,0.3512797952613394,0.3061681435902961,False,False
without_f57,f57,observed_pair_support_fraction,boundary_boost_bits_per_event,14,0,-0.36417845370054563,-0.3454347524842378,False,False
without_f57,f57,max_boundary_pair_probability,boundary_boost_bits_per_event,14,0,-0.25371796025478827,-0.3802197802197802,False,False
without_f57,f57,top5_boundary_pair_probability_mass,boundary_boost_bits_per_event,14,0,-0.4223479510438867,-0.4593406593406593,False,False
without_f57,f57,boundary_pair_simpson_concentration,boundary_boost_bits_per_event,14,0,-0.31365719517702073,-0.4593406593406593,False,False
without_f57,f57,boundary_pair_effective_simpson_pairs,boundary_boost_bits_per_event,14,0,0.36068519839024765,0.4593406593406593,False,False
without_f57_f49,f49|f57,boundary_pair_count,boundary_boost_bits_per_event,13,0,0.023197593508809886,0.07692307692307693,False,False
without_f57_f49,f49|f57,final_glyph_entropy_bits,boundary_boost_bits_per_event,13,0,0.4554149272833357,0.4725274725274725,False,False
without_f57_f49,f49|f57,initial_glyph_entropy_bits,boundary_boost_bits_per_event,13,0,0.44972266392968663,0.47802197802197804,False,False
without_f57_f49,f49|f57,boundary_pair_entropy_bits,boundary_boost_bits_per_event,13,0,0.48462040824827984,0.554945054945055,False,False
without_f57_f49,f49|f57,initial_given_final_conditional_entropy_bits,boundary_boost_bits_per_event,13,0,-0.0010371972672198696,-0.07142857142857142,False,False
without_f57_f49,f49|f57,final_given_initial_conditional_entropy_bits,boundary_boost_bits_per_event,13,0,0.39029810415505084,0.46153846153846156,False,False
without_f57_f49,f49|f57,final_initial_mutual_information_bits,boundary_boost_bits_per_event,13,0,0.38223131712539,0.3901098901098901,False,False
without_f57_f49,f49|f57,normalized_mutual_information_joint_fraction,boundary_boost_bits_per_event,13,0,0.3075087914856216,0.37362637362637363,False,False
without_f57_f49,f49|f57,distinct_final_glyphs,boundary_boost_bits_per_event,13,0,0.6063909786344189,0.5647174002500531,False,False
without_f57_f49,f49|f57,distinct_initial_glyphs,boundary_boost_bits_per_event,13,0,0.1361762233835405,0.10556207193396441,False,False
without_f57_f49,f49|f57,distinct_boundary_pairs,boundary_boost_bits_per_event,13,0,0.28532680410241873,0.3658875538406851,False,False
without_f57_f49,f49|f57,effective_final_glyphs,boundary_boost_bits_per_event,13,0,0.48419644097173337,0.4725274725274725,False,False
without_f57_f49,f49|f57,effective_initial_glyphs,boundary_boost_bits_per_event,13,0,0.45293200087559177,0.47802197802197804,False,False
without_f57_f49,f49|f57,effective_boundary_pairs,boundary_boost_bits_per_event,13,0,0.48643015892942065,0.554945054945055,False,False
without_f57_f49,f49|f57,possible_boundary_pairs_from_observed_marginals,boundary_boost_bits_per_event,13,0,0.47284991121416936,0.4407730223871269,False,False
without_f57_f49,f49|f57,observed_pair_support_fraction,boundary_boost_bits_per_event,13,0,-0.5395132331841566,-0.5199454712472894,False,False
without_f57_f49,f49|f57,max_boundary_pair_probability,boundary_boost_bits_per_event,13,0,-0.21991986728411525,-0.34065934065934067,False,False
without_f57_f49,f49|f57,top5_boundary_pair_probability_mass,boundary_boost_bits_per_event,13,0,-0.40029219166130764,-0.45604395604395603,False,False
without_f57_f49,f49|f57,boundary_pair_simpson_concentration,boundary_boost_bits_per_event,13,0,-0.29334840133994644,-0.43956043956043955,False,False
without_f57_f49,f49|f57,boundary_pair_effective_simpson_pairs,boundary_boost_bits_per_event,13,0,0.361063403729193,0.43956043956043955,False,False
