source_id,language,seed,model,lag,match_rate,matches,pairs,eligible_family_count
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,12,0.0,0,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,13,0.0,0,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,14,0.0,0,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,15,0.0,0,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,16,1.0,8729,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,1,0.004040775094131693,44,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,2,0.007631456491391345,82,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,3,0.010659371757381379,113,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,4,0.01482260686621402,155,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,5,0.018617279162222437,192,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,6,0.02084767430425804,212,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,7,0.02493765586034913,250,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,8,0.02945046047970853,291,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,9,0.035739960973605836,348,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,10,0.03700615031794016,355,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,11,0.04180336543549582,395,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,12,0.047608812466415906,443,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,13,0.04606484008296038,422,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,14,0.052789176000887214,476,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,15,0.05578721965513355,495,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,cycle_shuffle_k16,16,0.061289953030129456,535,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,1,0.06336670033979246,690,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,2,0.06198231735691019,666,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,3,0.06499386850297142,689,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,4,0.060916132734053746,637,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,5,0.061863667216134975,638,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,6,0.06185465630838824,629,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,7,0.06423940149625935,644,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,8,0.06143102924805181,607,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,9,0.062339529629249255,607,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,10,0.060877723339935366,584,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,11,0.05852471160969415,553,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,12,0.06061257388500806,564,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,13,0.061565331295710075,564,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,14,0.06210491294222025,560,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,15,0.0581539501859574,516,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,iid_k16,16,0.06197731698934586,541,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,1,0.0,0,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,2,0.0,0,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,3,0.0,0,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,4,0.0,0,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,5,0.0,0,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,6,0.0,0,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,7,0.0,0,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,8,0.0,0,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,9,0.0,0,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,10,0.0,0,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,11,0.0,0,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,12,0.0,0,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,13,0.0,0,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,14,0.0,0,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,15,0.0,0,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,fixed_cycle_k16,16,1.0,8729,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,1,0.002846909725410965,31,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,2,0.0071661237785016286,77,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,3,0.010753702480898028,114,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,4,0.015492014918236588,162,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,5,0.01978085910986134,204,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,6,0.022716097944733997,231,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,7,0.023640897755610974,237,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,8,0.02833721283270924,280,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,9,0.03522645578720345,343,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,10,0.03596372354842072,345,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,11,0.04085088369139592,386,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,12,0.043524986566362174,405,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,13,0.049339591747625804,452,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,14,0.054896306975712544,495,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,15,0.05860475600135242,520,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,cycle_shuffle_k16,16,0.06472677282621148,565,8729,144
