source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,factorization,phase3a5_mechanism
french_profiterole_ud218,French,compositional_affix_2x8,40814041438,token_markov,exact_token_markov,1,387,10000,7152345413235653528,2.530133052082446,2.518437153121857,0.01169589896058909,0.0046226418610527675,-0.004492702123660829,0.027034569724033394,0.9259,0.0741,True,False,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041438,copy_edit,local_copy_edit,16,387,10000,2990375391898186194,4.291874593906755,2.518437153121857,1.7734374407848978,0.4132081219946818,1.7463299187983194,1.7991193525179123,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041439,hmm_space_free,categorical_hmm,16,387,10000,616301465046895835,3.263081222360228,2.9449520153165567,0.3181292070436714,0.09749349935383,0.2975796908400705,0.33842500647089185,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041439,hmm_token_aware,categorical_hmm,16,387,10000,6465950701325868390,2.8654726438128595,2.5615426673669632,0.30392997644589625,0.10606626348436554,0.2859001338328171,0.32170647350720344,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041439,slot_grammar,finite_template_slot_grammar,16,387,10000,6727691434823338302,3.047905267320066,2.5193053671775933,0.5285999001424728,0.17343055435815924,0.5087218963553632,0.5478508447927252,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041439,token_markov,exact_token_markov,1,387,10000,2692064177429437561,2.529898422349946,2.5193053671775933,0.010593055172352539,0.004187146439860956,-0.005619776802954589,0.026458841426016223,0.9011,0.0989,True,False,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041439,copy_edit,local_copy_edit,16,387,10000,8843345968730887070,4.292683984058233,2.5193053671775933,1.77337861688064,0.41311650786930665,1.7484148300963955,1.7993268496795347,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041440,hmm_space_free,categorical_hmm,16,387,10000,61983159366296711,3.2643684307142022,2.9463504713108595,0.31801795940334276,0.09742097626332102,0.2975191817807904,0.33842229282229563,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041440,hmm_token_aware,categorical_hmm,16,387,10000,8293421150271092514,2.8533526312297233,2.560745342018203,0.29260728921152035,0.10254859003719208,0.2745929964454033,0.3102341076642203,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041440,slot_grammar,finite_template_slot_grammar,16,387,10000,4083943622691095043,3.0360008154864544,2.519284721410822,0.5167160940756323,0.17019629620647503,0.4979656487665207,0.5360725962767985,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041440,token_markov,exact_token_markov,1,387,10000,3790459953180592039,2.5203331913601628,2.519284721410822,0.0010484699493407135,0.00041600450009338097,-0.016319557041811195,0.017389093501394323,0.5605,0.4395,True,False,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041440,copy_edit,local_copy_edit,16,387,10000,1070691273027595881,4.291688745294595,2.519284721410822,1.7724040238837726,0.41298522075419275,1.7469070152676187,1.7986942505553063,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041441,hmm_space_free,categorical_hmm,16,387,10000,1236715317907834960,3.259871979987569,2.943753600315036,0.31611837967253287,0.0969726362302542,0.2962154752335537,0.33552499661417534,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041441,hmm_token_aware,categorical_hmm,16,387,10000,4762648951646774414,2.869056720528986,2.5627889702230098,0.3062677503059761,0.10674858677924914,0.2880586167816469,0.3242009407047139,1.0,0.0,True,True,2x8,compositional_affix_factorization
