replicate,lag16_match_rate,short_lag_mean,cycle16_contrast,lag32_match_rate
87,0.47193487451650623,0.48413563425795575,-0.012200759741449518,0.45332549187339605
88,0.4787712512368445,0.4844132125831698,-0.00564196134632533,0.4531650983746792
89,0.47656741926778806,0.4844930134607883,-0.007925594193000263,0.4550898203592814
90,0.47634253845461905,0.48442100814536615,-0.008078469690747103,0.4495829769033362
91,0.4751281820635063,0.4852225690991991,-0.010094387035692765,0.4509730538922156
92,0.4724745884681119,0.4846736821093078,-0.012199093641195868,0.45107998289136014
93,0.47314923090761896,0.48345537038127934,-0.01030613947366038,0.4479255774165954
94,0.47593775299091484,0.4844643603594108,-0.008526607368495975,0.4518284858853721
95,0.47144013672753443,0.4843140382649492,-0.012873901537414745,0.45332549187339605
96,0.47314923090761896,0.4848811570253076,-0.01173192611768864,0.4566402908468777
97,0.473598992533957,0.4838926145421615,-0.010293622008204495,0.4515611633875107
98,0.4748133489250697,0.4854981206862208,-0.010684771761151068,0.45327202737382377
99,0.47296932625708377,0.48460465740633013,-0.011635331149246364,0.452363130881095
100,0.4743635872987317,0.48483568382047654,-0.010472096521744856,0.45295124037639006
101,0.47215975532967525,0.4851661775086981,-0.01300642217902287,0.45225620188195037
102,0.47616263380408386,0.48450525666236316,-0.008342622858279303,0.44648203592814373
103,0.47072051812539356,0.48437272677198384,-0.01365220864659028,0.4504384088964927
104,0.47413870648556267,0.48401317852998516,-0.009874472044422489,0.45006415739948674
105,0.47485832508770354,0.48464501630097917,-0.009786691213275633,0.44904833190761334
106,0.475667896015112,0.484636299438158,-0.008968403423046,0.4511869118905047
107,0.4760726814788162,0.4847170804052849,-0.008644398926468677,0.4480859709153122
108,0.4778267518215346,0.4841158712865774,-0.006289119465042792,0.44835329341317365
109,0.46887649545740756,0.48463384871579746,-0.015757353258389895,0.4528443113772455
110,0.47144013672753443,0.4846376841518341,-0.013197547424299683,0.44680282292557744
111,0.47413870648556267,0.48505177210679046,-0.010913065621227791,0.4491017964071856
112,0.4728793739318161,0.48493000096866967,-0.012050627036853556,0.4498502994011976
113,0.47571287217774577,0.4848266567252431,-0.009113784547497339,0.454073994867408
114,0.4765224431051543,0.4847954623042557,-0.008273019199101395,0.4515611633875107
115,0.47638751461725287,0.4846096925797557,-0.008222177962502852,0.4552502138579983
116,0.4723396599802105,0.4845616067596756,-0.012221946779465087,0.4515076988879384
117,0.4725195646307457,0.48456614097917783,-0.012046576348432148,0.4499572284003422
118,0.475667896015112,0.4838333922155538,-0.008165496200441824,0.4501710863986313
119,0.47067554196275974,0.48504021779885514,-0.014364675836095409,0.4509730538922156
120,0.4705406134748583,0.4847701246513726,-0.014229511176514276,0.45193541488451666
121,0.4733291355581542,0.4855774667958289,-0.012248331237674714,0.44503849443969207
122,0.4782315372852388,0.48470147597409885,-0.006469938688860033,0.4501710863986313
123,0.4722497076549429,0.4838714544962265,-0.011621746841283587,0.45124037639007697
124,0.47521813438877397,0.4851488217150444,-0.009930687326270449,0.45038494439692045
125,0.471530089052802,0.4842970922013405,-0.012767003148538458,0.44781864841745084
126,0.48070522623009804,0.484717846848757,-0.00401262061865898,0.45247005988023953
127,0.47733201403256276,0.4847705190394062,-0.007438505006843454,0.4492621899059025
128,0.47431861113609786,0.4848717655433744,-0.010553154407276555,0.44771171941830623
129,0.4716200413780696,0.48483448716968386,-0.013214445791614238,0.45434131736526945
130,0.4767473239183233,0.4838800663190662,-0.0071327424007429086,0.4489414029084688
131,0.4722497076549429,0.4848111839998019,-0.01256147634485899,0.454073994867408
132,0.47548799136457676,0.484649896113392,-0.00916190474881523,0.4428464499572284
133,0.47508320590087255,0.48466286960370414,-0.009579663702831587,0.4518819503849444
134,0.4749033012503373,0.4846505301889978,-0.00974722893866048,0.4572818648417451
135,0.47517315822614015,0.48527061964081214,-0.010097461414671993,0.4505453378956373
136,0.47305927858235136,0.48471658643948745,-0.01165730785713609,0.4472305389221557
137,0.4759827291535486,0.4846189230161633,-0.008636193862614716,0.4535393498716852
138,0.47665737159305566,0.4851540919837022,-0.008496720390646528,0.44696321642429426
139,0.47454349194926687,0.484572365163976,-0.010028873214709133,0.44872754491017963
140,0.4738688495097598,0.48466544533046046,-0.010796595820700639,0.4515611633875107
141,0.47508320590087255,0.48428921886471604,-0.00920601296384349,0.44696321642429426
142,0.4767923000809571,0.4852289715250977,-0.00843667144414062,0.4512938408896493
143,0.4770171808941261,0.4845394789504949,-0.007522298056368781,0.4516680923866553
144,0.47314923090761896,0.48551222665062804,-0.012362995743009086,0.45022455089820357
145,0.47274444544391475,0.4846702122675952,-0.011925766823680461,0.4501710863986313
146,0.4779167041468022,0.4851604035792886,-0.007243699432486372,0.45140076988879385
147,0.47112530358909777,0.4843583857838661,-0.01323308219476832,0.4545551753635586
148,0.4691013762705766,0.4866792622944383,-0.017577886023861733,0.4496364414029085
149,0.4757578483403796,0.48501278631080363,-0.009254937970424038,0.45038494439692045
150,0.4702707564990555,0.484430237483795,-0.014159480984739514,0.45311163387510695
151,0.4722497076549429,0.4845616712858953,-0.012311963630952383,0.4499572284003422
152,0.4759827291535486,0.48536707187340083,-0.009384342719852223,0.4492087254063302
153,0.4747683727624359,0.48580904809394415,-0.011040675331508265,0.4538601368691189
154,0.47521813438877397,0.483802796668814,-0.008584662280040012,0.4528977758768178
155,0.47454349194926687,0.4854356052343867,-0.010892113285119853,0.45380667236954664
156,0.4744535396239993,0.4858416557367127,-0.011388116112713398,0.45305816937553467
157,0.47260951695601333,0.48461158269606525,-0.012002065740051915,0.4506522668947819
158,0.4751281820635063,0.48433333605556605,-0.009205153992059734,0.4532185628742515
159,0.47499325357560496,0.4848036692846605,-0.009810415709055553,0.4558917878528657
160,0.4765224431051543,0.48495558063774363,-0.008433137532589341,0.45327202737382377
161,0.47260951695601333,0.48461447890522524,-0.012004961949211912,0.45444824636441405
162,0.47310425474498513,0.484227419553031,-0.011123164808045871,0.4482463644140291
163,0.4738688495097598,0.48487888229261694,-0.011010032782857115,0.45204234388366127
164,0.4723396599802105,0.48445377270974516,-0.012114112729534665,0.45247005988023953
165,0.47548799136457676,0.4852980295890228,-0.009810038224446038,0.45107998289136014
166,0.47197985067914006,0.4837151991363709,-0.011735348457230843,0.45343242087254065
167,0.4714851128901682,0.4850988414303032,-0.013613728540134984,0.44936911890504705
168,0.47292435009444994,0.485545732037328,-0.01262138194287804,0.45311163387510695
169,0.47292435009444994,0.4843848765759571,-0.011460526481507138,0.45230966638152265
170,0.4758478006656472,0.4839396181036372,-0.008091817437990034,0.44562660393498715
171,0.4737339210218584,0.4847977754844368,-0.011063854462578404,0.4491552609067579
172,0.4755779436898444,0.48422408003041234,-0.008646136340567934,0.44594739093242086
173,0.4728793739318161,0.4862065501428032,-0.013327176210987057,0.4518819503849444
174,0.4768372762435909,0.48394327980776186,-0.00710600356417096,0.4518819503849444
175,0.47400377799766125,0.48526815706382403,-0.011264379066162789,0.4514542343883661
176,0.474048754160295,0.4852519125183435,-0.01120315835804847,0.4554640718562874
177,0.47485832508770354,0.4853475862924135,-0.010489261204709943,0.4518284858853721
178,0.47521813438877397,0.4854910728335241,-0.010272938444750135,0.44974337040205303
179,0.4734190878834218,0.4844648041793391,-0.01104571629591733,0.4515611633875107
180,0.4712602320769992,0.48460683221648554,-0.013346600139486353,0.450866124893071
181,0.47656741926778806,0.4850898864093776,-0.008522467141589551,0.4499037639007699
182,0.47274444544391475,0.4845088507135698,-0.011764405269655054,0.4494760479041916
183,0.47548799136457676,0.4847308473343389,-0.009242855969762154,0.45124037639007697
184,0.4767923000809571,0.484472352358166,-0.007680052277208915,0.4533789563729683
