source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,phase3b_evaluation_split,phase3b_allocation
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041439,token_markov,exact_token_markov,1,658,10000,2366986978926967946,3.140324714802064,2.992648738654593,0.14767597614747086,0.04702570261329775,0.13882871325783502,0.15607934116863872,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041439,copy_edit,local_copy_edit,16,658,10000,5892804264502170003,4.480080893354916,2.992648738654593,1.4874321547003233,0.3320101110019148,1.4594431697911392,1.5153355629228438,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041440,hmm_space_free,categorical_hmm,16,658,10000,7072322851909893320,3.99549554026023,3.674997124847281,0.3204984154129491,0.08021493508964717,0.2934991810890187,0.3471474067639532,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041440,hmm_token_aware,categorical_hmm,16,658,10000,7049893562105661324,3.4542395462584494,3.115200862731988,0.3390386835264616,0.09815146835826727,0.3169972377621135,0.3603517487402148,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041440,slot_grammar,finite_template_slot_grammar,16,658,10000,5124373767382960696,3.43722004704945,2.995736120062078,0.44148392698737204,0.12844214828967582,0.420338641142632,0.462513929566881,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041440,token_markov,exact_token_markov,1,658,10000,7839447323230325793,3.1442566892481807,2.995736120062078,0.14852056918610268,0.04723551028577622,0.13990453318092194,0.156990941826405,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041440,copy_edit,local_copy_edit,16,658,10000,2614228814401766098,4.479164446829389,2.995736120062078,1.4834283267673114,0.33118416266617934,1.4539006591703083,1.5131987006399514,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041441,hmm_space_free,categorical_hmm,16,658,10000,2954398432779522985,4.008806635824757,3.6920236316880253,0.3167830041367319,0.07902177204203287,0.2891834276520702,0.34396070007234414,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041441,hmm_token_aware,categorical_hmm,16,658,10000,8445525986018155270,3.472567044694132,3.1168158285540923,0.3557512161400398,0.10244617643411824,0.3319939259061008,0.37813787802240273,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041441,slot_grammar,finite_template_slot_grammar,16,658,10000,8204872072456541045,3.434768719533269,2.9970402149559674,0.4377285045773016,0.1274404596990687,0.4155059929306742,0.4595523609495895,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041441,token_markov,exact_token_markov,1,658,10000,6055267677376745732,3.144773145229396,2.9970402149559674,0.1477329302734285,0.046977293258033126,0.13900541788182955,0.15606212436408465,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041441,copy_edit,local_copy_edit,16,658,10000,3799748664555348567,4.4790360901179485,2.9970402149559674,1.481995875161981,0.33087384101050066,1.4525962657101126,1.5105401967448113,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041442,hmm_space_free,categorical_hmm,16,658,10000,8513651219114728563,3.9797030210336226,3.687885351636166,0.29181766939745657,0.07332649392558555,0.2633702867682224,0.31906394191590043,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041442,hmm_token_aware,categorical_hmm,16,658,10000,4007222235073013907,3.469721468475603,3.117858680606507,0.35186278786909586,0.10140951977441703,0.32862374444412806,0.3743608323492135,1.0,0.0,True,True,reserved_test,balanced16
