source_id,language,factorization,seed,selected_context_order,validation_tokens,validation_events,recomputed_competitor_bits_per_event,recomputed_trigram_bits_per_event,recomputed_delta_bits_per_event,total_token_markov_bits,total_matched_trigram_bits,total_delta_bits,stored_competitor_bits_per_event,stored_trigram_bits_per_event,stored_delta_bits_per_event,competitor_abs_error,trigram_abs_error,delta_abs_error,parity_tolerance,parity_pass,phase3a5_strong_direction_match,phase3a5_direction_match,phase3a5_ci_95_lower,phase3a5_ci_95_upper,control_corpus_sha256,control_key_sha256
french_profiterole_ud218,French,4x4,40814041438,1,2954,20655,2.5314010343038,2.5203018921722458,0.011099142131554274,52286.088363544986,52056.83558281774,229.25278072724905,2.531401034303802,2.5203018921722555,0.01109914213154628,1.7763568394002505e-15,9.769962616701378e-15,7.993605777301127e-15,1e-09,True,False,True,-0.0049343660750991725,0.0266661084476175,6329c7dcd366eea11079295776a9899422670896754295e6005bef2d2b72a072,056c537fd134fee5e8a0998a85905d10597cec14758a683e81f4a059666fe925
french_profiterole_ud218,French,4x4,40814041439,1,2954,20655,2.5317810518154964,2.521649849201861,0.010131202613635537,52293.93762524908,52084.67763526444,209.2599899846391,2.531781051815492,2.521649849201856,0.010131202613635981,4.440892098500626e-15,4.884981308350689e-15,4.440892098500626e-16,1e-09,True,False,True,-0.006083420940166228,0.02570883663352564,8cf5fd5ed9d31cfc2be8ca676537878528365b8e8ea3cc0b2fad1fefb8b0d121,4766c0b5404c2d5f723bb75b5f8a74aa1b1d649cfe43f59d984927c5edea441c
french_profiterole_ud218,French,4x4,40814041440,1,2954,20655,2.5224087204585746,2.521707950382196,0.0007007700763783653,52100.35212107185,52085.87771514426,14.474405927590851,2.522408720458579,2.5217079503821984,0.0007007700763805857,4.440892098500626e-15,2.220446049250313e-15,2.220446049250313e-15,1e-09,True,False,True,-0.016573059635448417,0.017371956293152285,4cee17d35d2314a33206905e616df7e240e94dffc9909f290a329a76e5c625c4,9640832e3c91ff2044e30eae0838e1e300fafea4829b1b182f8bae29181dff08
french_profiterole_ud218,French,4x4,40814041441,1,2954,20655,2.531106219177516,2.5222051742484415,0.008901044929074509,52279.998957111595,52096.14787410156,183.85108301003493,2.5311062191775138,2.5222051742484424,0.0089010449290714,2.220446049250313e-15,8.881784197001252e-16,3.1086244689504383e-15,1e-09,True,False,True,-0.007762565520912689,0.02435888924376026,882b1b3bd68ef15712e63fa3b58142a2a92e9aaec4d960a764d070017755f6cb,d4bd237b8e894edfa7ed07dafc9e92e8406fe2d7a89d937f696368a3bb12744f
french_profiterole_ud218,French,4x4,40814041442,1,2954,20655,2.528994414497709,2.5213945658184262,0.007599848679282761,52236.37963145018,52079.404756979595,156.97487447058666,2.5289944144977055,2.5213945658184285,0.007599848679276988,3.552713678800501e-15,2.220446049250313e-15,5.773159728050814e-15,1e-09,True,False,True,-0.008131028951599761,0.022673331845281326,4df38b37f7b805bd626852472a0e729d8b4b7beb24e77859ce2614021696ee4d,660406fa8d1334d19500d6de655f54b320352c6a0d0d449cfcc299214183e70b
german_rem_v21,German,1x16,40814041438,1,2963,19785,2.5869976570260964,2.5087503768282358,0.07824728019786065,51183.748644261315,49635.62620554664,1548.1224387146722,2.5869976570260906,2.5087503768282353,0.07824728019785532,5.773159728050814e-15,4.440892098500626e-16,5.329070518200751e-15,1e-09,True,True,True,0.06732812812890442,0.08880542535898411,e17e950ea1cef920c067edd4b92a2e01c30bd222ae4bd71abc8c99eeec9604e9,8f4d21e485f39a9531b955b56b3b6c7428c562cdb528a1b356b795ad64e0bcd0
german_rem_v21,German,1x16,40814041439,1,2963,19785,2.582671225088617,2.5081888257106444,0.07448239937797263,51098.15018837829,49624.5159166851,1473.6342716931904,2.5826712250886157,2.5081888257106497,0.07448239937796597,1.3322676295501878e-15,5.329070518200751e-15,6.661338147750939e-15,1e-09,True,True,True,0.06345538813515834,0.08524945697849097,426bb8b6857918fab5397d57d5637b48b7093a19a2297dab0723cac3af88ddbf,9857dac385dd68799c5e382c2c594f623dcbfffaebcf1675f09c6088abb13e16
german_rem_v21,German,1x16,40814041440,1,2963,19785,2.585617592132154,2.5100541672290273,0.07556342490312673,51156.44406033467,49661.421698626305,1495.0223617083611,2.5856175921321523,2.5100541672290326,0.07556342490311962,1.7763568394002505e-15,5.329070518200751e-15,7.105427357601002e-15,1e-09,True,True,True,0.06441723977900367,0.08623018865998275,c6d8e4dc19389527a8ad398540974ede65ac80e5f5b3dc3d0428713045d066de,f57ab7378e9e465332c1f0a2dcae20091185add4d907563f1e4579ad270bc61e
german_rem_v21,German,1x16,40814041441,1,2963,19785,2.589019409209985,2.5086049653148343,0.08041444389515062,51223.74901121955,49632.749238754,1590.999772465555,2.5890194092099783,2.5086049653148343,0.08041444389514396,6.661338147750939e-15,0.0,6.661338147750939e-15,1e-09,True,True,True,0.06955337898005592,0.0907983800882823,0ba340b7b8342c9dd9bb701ed1132c6801d03ebd75f93aeb8837da35e447ebe9,8b0e1a3283e0a9d17e359b4f59c356c69a17902d5226329005234814ccfed904
german_rem_v21,German,1x16,40814041442,1,2963,19785,2.5853955212291724,2.5073953357437273,0.07800018548544507,51152.05038751918,49608.816717689646,1543.233669829533,2.5853955212291706,2.5073953357437286,0.07800018548544196,1.7763568394002505e-15,1.3322676295501878e-15,3.1086244689504383e-15,1e-09,True,True,True,0.06741343273529772,0.08807373082724465,392499f5f5d85a8dcf158b612023fadf38edb56d5d2d31a1c54cf7c31b80971b,03658cc25867650901a6e6b2fb116d83e8bbaded8f710314cb27f1c08406242b
