language,factorization,current_variant_index,runs,tokens,events,total_delta_bits,delta_bits_per_event_ratio_of_sums,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,tokens_token_markov_better,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,share_of_language_token_markov_advantage_bits
Latin,1x16,14,5,921,7784,-395.2050912238436,-0.050771465984563675,-0.051780609125675135,0.03412904057258453,365,0.3963083604777416,1329.0074808910153,933.8023896671673,0.062317750342464895
Latin,1x16,15,5,862,7475,-415.42835786873184,-0.05557570004932867,-0.05667116350719825,0.043670581811864895,323,0.37470997679814383,1310.7054596722444,895.2771018035057,0.061459560448522986
Latin,1x16,2,5,867,7513,-545.9151822540349,-0.07266274221403367,-0.07188974612558206,0.02091367638270185,347,0.4002306805074971,1413.671274160175,867.7560919061358,0.0662876731667189
Latin,1x16,3,5,902,7712,-453.90822928704426,-0.05885739487643209,-0.05935320796966863,0.02552286785367263,354,0.3924611973392461,1367.0293539159882,913.1211246289369,0.06410061283555982
Latin,1x16,4,5,929,7981,-351.858293809861,-0.04408699333540421,-0.04303553799824466,0.027484669214677994,334,0.3595263724434876,1332.0401322835012,980.181838473632,0.06245995271157869
Latin,1x16,5,5,875,7589,-259.76574736510935,-0.03422924593030825,-0.034438740479408626,0.010330926616400971,309,0.35314285714285715,1192.4094558095042,932.6437084443886,0.05591260834988838
Latin,1x16,6,5,941,8064,-394.8126461329911,-0.04895990155419037,-0.049678043647689206,0.02315586355577775,344,0.3655685441020191,1358.638709330536,963.8260631975373,0.06370717178875848
Latin,1x16,7,5,925,7815,-345.1527988016913,-0.04416542531051712,-0.04373761059421388,0.019628351330644785,352,0.38054054054054054,1318.9616377350328,973.8088389333343,0.06184669630042567
Latin,1x16,8,5,910,7791,-314.1977797101416,-0.040328299282523634,-0.04091000998963396,0.02396491454279493,347,0.3813186813186813,1257.8624403732483,943.6646606630966,0.0589817278318028
Latin,1x16,9,5,945,8100,-675.4053780695051,-0.08338338000858088,-0.08375236033076505,0.016210282430297315,383,0.4052910052910053,1627.274629991364,951.8692519218487,0.07630362927862608
