source_id,language,factorization,seed,selected_context_order,line_index,token_index,previous_plaintext_token,plaintext_token,previous_variant_index,current_variant_index,delta_bits,events,delta_bits_per_event,token_markov_better,train_plain_previous_frequency,train_plain_current_frequency,train_plain_bigram_frequency,train_plain_conditional_probability,train_plain_previous_distinct_next_types,train_plain_previous_transition_concentration,train_cipher_previous_frequency,train_cipher_current_frequency,train_cipher_bigram_frequency,train_cipher_conditional_probability,train_cipher_previous_distinct_next_types,train_cipher_previous_transition_concentration,train_variant_bigram_frequency,train_variant_conditional_probability
french_profiterole_ud218,French,1x16,40814041438,1,71,3,n,en,2,11,0.3499186525564273,5,0.06998373051128545,False,105,407,30,0.2857142857142857,21,0.3523809523809524,12,19,0,0.0,12,0.08333333333333333,40,0.05312084993359894
french_profiterole_ud218,French,1x16,40814041438,1,71,4,en,deit,11,1,-1.262609427840399,7,-0.1803727754057713,True,407,5,1,0.002457002457002457,187,0.09336609336609336,19,1,0,0.0,18,0.10526315789473684,47,0.06527777777777778
french_profiterole_ud218,French,1x16,40814041438,1,71,5,deit,estre,1,10,-1.523409178413317,8,-0.19042614730166463,True,5,15,1,0.25,4,0.25,1,2,0,0.0,1,1.0,52,0.0692410119840213
french_profiterole_ud218,French,1x16,40814041438,1,71,6,estre,cantee,10,14,2.5637916262432476,9,0.2848657362492497,False,15,0,0,0.0,9,0.2,2,0,0,0.0,1,1.0,52,0.0663265306122449
french_profiterole_ud218,French,1x16,40814041438,1,73,1,si,fait,6,0,-0.4811254292681699,7,-0.06873220418116713,True,143,38,0,0.0,82,0.11267605633802817,13,2,0,0.0,11,0.16666666666666666,54,0.0675
french_profiterole_ud218,French,1x16,40814041438,1,73,2,fait,suner,0,14,2.563791626243251,8,0.3204739532804064,False,38,1,0,0.0,31,0.05714285714285714,2,0,0,0.0,2,0.5,59,0.07763157894736843
french_profiterole_ud218,French,1x16,40814041438,1,73,3,suner,ses,14,8,-1.3391684732686269,6,-0.22319474554477114,True,1,49,0,0.0,0,0.0,0,3,0,0.0,0,0.0,64,0.08803301237964237
french_profiterole_ud218,French,1x16,40814041438,1,73,4,ses,cors,8,0,-2.19657880680737,7,-0.31379697240105286,True,49,33,0,0.0,37,0.061224489795918366,3,5,0,0.0,3,0.3333333333333333,41,0.053385416666666664
french_profiterole_ud218,French,1x16,40814041438,1,73,5,cors,e,0,0,0.8721804712664749,4,0.21804511781661873,False,33,509,3,0.0967741935483871,20,0.22580645161290322,5,33,0,0.0,5,0.2,62,0.08157894736842106
french_profiterole_ud218,French,1x16,40814041438,1,73,6,e,ses,0,1,-0.28243932085080203,6,-0.04707322014180034,True,509,49,5,0.009823182711198428,266,0.04518664047151277,33,3,0,0.0,33,0.030303030303030304,55,0.07236842105263158
french_profiterole_ud218,French,1x16,40814041438,1,73,7,ses,buisines,1,11,2.563791626243251,11,0.23307196602211375,False,49,0,0,0.0,37,0.061224489795918366,3,0,0,0.0,3,0.3333333333333333,38,0.05059920106524634
french_profiterole_ud218,French,1x16,40814041438,1,76,1,plus,fel,9,13,2.5637916262432494,6,0.4272986043738749,False,37,5,0,0.0,25,0.16129032258064516,3,0,0,0.0,3,0.3333333333333333,35,0.04504504504504504
french_profiterole_ud218,French,1x16,40814041438,1,76,2,fel,de,13,7,-0.45184315863482993,5,-0.09036863172696599,True,5,359,0,0.0,4,0.4,0,26,0,0.0,0,0.0,46,0.05897435897435897
french_profiterole_ud218,French,1x16,40814041438,1,76,3,de,lui,7,1,2.5637916262432494,6,0.4272986043738749,False,359,24,4,0.011142061281337047,155,0.14484679665738162,26,0,0,0.0,26,0.038461538461538464,39,0.05256064690026954
french_profiterole_ud218,French,1x16,40814041438,1,76,4,lui,n,1,3,0.342894349201325,4,0.08572358730033125,False,24,105,0,0.0,20,0.05,0,5,0,0.0,0,0.0,55,0.07323568575233022
french_profiterole_ud218,French,1x16,40814041438,1,76,5,n,out,3,15,2.5637916262432494,6,0.4272986043738749,False,105,15,1,0.009523809523809525,21,0.3523809523809524,5,0,0,0.0,5,0.2,52,0.06718346253229975
french_profiterole_ud218,French,1x16,40814041438,1,76,6,out,en,15,14,-1.0178207697362804,5,-0.20356415394725608,True,15,407,0,0.0,12,0.15384615384615385,0,24,0,0.0,0,0.0,39,0.051047120418848166
french_profiterole_ud218,French,1x16,40814041438,1,76,7,en,sa,14,5,0.6642271954107812,5,0.13284543908215624,False,407,59,4,0.009828009828009828,187,0.09336609336609336,24,4,0,0.0,24,0.041666666666666664,46,0.06327372764786796
french_profiterole_ud218,French,1x16,40814041438,1,76,8,sa,cumpagnie,5,10,2.563791626243244,12,0.213649302186937,False,59,0,0,0.0,32,0.11864406779661017,4,0,0,0.0,4,0.25,47,0.0625
