replicate,token_markov_bits_per_event,matched_trigram_bits_per_event,delta_token_minus_trigram_bits_per_event
155,2.370897061591964,2.2665483139194285,0.10434874767253532
156,2.41860555297525,2.302547577460343,0.11605797551490671
157,2.4616933835257737,2.336122578951196,0.1255708045745778
158,2.563056935674483,2.4273724389200124,0.13568449675447036
159,2.4541476676238156,2.3326209940062594,0.1215266736175562
160,2.3887219705249527,2.2755003705247234,0.1132216000002293
161,2.31486205571013,2.2075693637171327,0.10729269199299729
162,2.555833310527774,2.4176297267612528,0.1382035837665212
163,2.4518733235191625,2.3215430049701524,0.13033031854901012
164,2.4305885184225593,2.3075313926970185,0.12305712572554084
165,2.4096972678213797,2.2929945357723676,0.11670273204901216
166,2.5155658000299748,2.379854748511837,0.1357110515181379
167,2.426617667806488,2.30336448591242,0.12325318189406831
168,2.372919661526942,2.2594995903306776,0.11342007119626452
169,2.441367741802384,2.3195810415965092,0.12178670020587479
170,2.5621228863235412,2.418551720550253,0.1435711657732881
171,2.5161491707950177,2.3838962233577274,0.1322529474372902
172,2.4088686971212736,2.2858226850387577,0.12304601208251587
173,2.5239249949081874,2.38810707932419,0.13581791558399736
174,2.5323628265519624,2.396733823683297,0.13562900286866553
175,2.3707677730716608,2.2499335783858667,0.12083419468579404
176,2.456038349816249,2.3202427311737766,0.13579561864247225
177,2.46275328334415,2.339321666501238,0.12343161684291193
178,2.4850638094021735,2.361743151587707,0.12332065781446655
179,2.2766504768272062,2.175136072301451,0.10151440452575544
180,2.5203148110080673,2.38160097704279,0.13871383396527737
181,2.5410017002443848,2.4091528490985694,0.13184885114581535
182,2.5719757459619315,2.42784213225823,0.14413361370370126
183,2.6174982373535647,2.4663155854923415,0.15118265186122315
184,2.524349159660612,2.393798084129004,0.13055107553160772
185,2.5283366536596867,2.394477271898054,0.1338593817616327
186,2.3489299120126095,2.246781960866885,0.10214795114572439
187,2.4488303382330963,2.312187394741237,0.13664294349185946
188,2.5923063358185794,2.456372653006836,0.13593368281174323
189,2.5591194041085057,2.4179694594534844,0.1411499446550213
190,2.4659614704953716,2.340322716703352,0.12563875379201983
191,2.5957956309089143,2.4530945806706668,0.14270105023824753
192,2.5259073437213706,2.404132382525456,0.12177496119591469
193,2.492972529141431,2.36280228952565,0.1301702396157811
194,2.5081372351600555,2.3806202120582123,0.1275170231018432
195,2.5072472861700064,2.384369255336262,0.12287803083374449
196,2.500563170783739,2.363519861297299,0.13704330948643983
197,2.509648928224089,2.3825845452615537,0.1270643829625353
198,2.595096934228861,2.4408927946976164,0.15420413953124434
199,2.45499446354365,2.327286756276256,0.127707707267394
200,2.519515033664789,2.3799415455299187,0.13957348813487025
201,2.3718868080647963,2.2551322370584534,0.1167545710063429
202,2.38011317490501,2.263817192182023,0.11629598272298702
203,2.654519458192582,2.506346448678383,0.1481730095141991
204,2.4451758036921465,2.3255255398998056,0.1196502637923409
205,2.412620507472087,2.2890725748332694,0.12354793263881758
206,2.3600978675581485,2.25105909582921,0.1090387717289385
207,2.3448592753438784,2.2330667194541314,0.11179255588974701
208,2.400025192454171,2.276240722313167,0.12378447014100402
209,2.5360796841425532,2.399097876222122,0.13698180792043146
210,2.3657484901755783,2.2511083182720246,0.11464017190355369
211,2.520720268951631,2.3840059180885316,0.13671435086309947
212,2.453637387447191,2.3258941788098797,0.12774320863731115
213,2.36779049573133,2.2573656036715857,0.11042489205974437
214,2.4839860633893247,2.360327329043471,0.12365873434585373
215,2.505391001026989,2.3710257451975476,0.13436525582944148
216,2.535742215995146,2.392746181652137,0.142996034343009
217,2.385924785867734,2.2687531409962447,0.11717164487148946
218,2.4513755360108114,2.326749841522965,0.12462569448784633
219,2.233649158112537,2.1402733037215005,0.09337585439103657
220,2.479746767232008,2.3531284090795968,0.1266183581524114
221,2.4003516433589054,2.2811754840566794,0.11917615930222603
222,2.251516041970818,2.1513414072796393,0.10017463469117871
223,2.351674991766464,2.2410987030806977,0.11057628868576641
224,2.453679353903581,2.324130644289509,0.12954870961407172
225,2.4063905303724065,2.2857750126951366,0.12061551767726986
226,2.482874404285596,2.3511918779597223,0.13168252632587363
227,2.3386364757958025,2.2306553555991995,0.107981120196603
228,2.463809138523241,2.343216191257319,0.12059294726592196
229,2.456894620509693,2.3354835153732685,0.12141110513642461
230,2.4673862352028584,2.343391764566091,0.1239944706367675
231,2.5224597271105886,2.39112440385897,0.13133532325161879
232,2.4580319550168004,2.341227784503854,0.11680417051294656
233,2.3303282413668573,2.2201117961672154,0.11021644519964191
234,2.485007531994467,2.362914942371658,0.12209258962280911
235,2.5567439875428573,2.4145254981665065,0.14221848937635073
236,2.518949077229711,2.3919332690009165,0.12701580822879466
237,2.44746414473477,2.325040967302261,0.12242317743250908
238,2.467255242330576,2.3401283031396853,0.12712693919089046
239,2.4469602053220183,2.3196609733662683,0.12729923195575
240,2.4045570928722504,2.284474426432576,0.12008266643967458
241,2.411165287598249,2.292628381917514,0.11853690568073505
242,2.415881413307718,2.28323649561496,0.1326449176927582
243,2.4585608114110857,2.3213983768849524,0.1371624345261333
244,2.4515777195740287,2.3235332653182765,0.12804445425575217
245,2.4588369276983126,2.334874192913167,0.12396273478514575
246,2.5931021999380803,2.4550597542054806,0.13804244573259972
247,2.5476770000095468,2.405924208792212,0.14175279121733464
248,2.5240244696396723,2.3882584541228993,0.13576601551677303
249,2.473779195270986,2.340072868740745,0.13370632653024117
250,2.5142129815438303,2.375594227886367,0.13861875365746323
251,2.563167699385365,2.423307787423883,0.13985991196148229
252,2.5555870303013357,2.4197821242486763,0.13580490605265938
253,2.3828162048401844,2.2716284084959533,0.11118779634423115
254,2.5183639265525204,2.3713984169284896,0.14696550962403077
255,2.5003257876615215,2.3663251799776983,0.13400060768382316
256,2.503167843934055,2.3688459821827283,0.13432186175132665
257,2.2941838089016495,2.1886715397455294,0.10551226915612011
258,2.388982881972921,2.2724655943023597,0.11651728767056113
259,2.475514407721939,2.340461424838968,0.13505298288297096
260,2.5082114796026316,2.3804769187180406,0.127734560884591
261,2.472018845472512,2.343171852240869,0.12884699323164295
262,2.4456921067405117,2.324582716333003,0.12110939040750868
263,2.3866301476500937,2.2721189037101874,0.1145112439399063
264,2.4383405937738734,2.315279348308413,0.12306124546546027
265,2.5117174662365995,2.376194662879933,0.13552280335666644
266,2.42233066543922,2.300998029598731,0.12133263584048892
267,2.412413055607461,2.2934079265083076,0.11900512909915362
268,2.491591819811929,2.3667478750448803,0.12484394476704885
269,2.412376421077532,2.285407766442732,0.1269686546347999
270,2.6561335508553165,2.5162637019027794,0.13986984895253718
271,2.3275779120867255,2.219806591650856,0.10777132043586946
272,2.5714745299861654,2.4344523857989584,0.13702214418720704
273,2.4684051146247357,2.3424439647122126,0.12596114991252305
274,2.516037393135371,2.376867805752908,0.139169587382463
275,2.4568326190497243,2.33179145750198,0.12504116154774447
276,2.4893566349080714,2.3609231194084264,0.128433515499645
277,2.3985183969748505,2.2723562706434257,0.12616212633142476
278,2.527321510184095,2.3913693955289563,0.1359521146551388
279,2.5807753364329122,2.4447797398067217,0.13599559662619054
280,2.515750262649449,2.383564387024478,0.13218587562497097
281,2.506454472849747,2.3805629289178087,0.12589154393193835
282,2.508595318324952,2.375985552408695,0.13260976591625706
283,2.3106338498081427,2.210050913996706,0.10058293581143651
284,2.457689410114829,2.330818859472889,0.12687055064193986
285,2.4365922994946736,2.304889606927028,0.13170269256764566
286,2.5670260223389842,2.421929490620605,0.14509653171837922
287,2.427822107032269,2.3038506139475103,0.12397149308475885
288,2.4274644407776433,2.3064364444118524,0.12102799636579098
289,2.551663125735396,2.4199406942113173,0.1317224315240786
290,2.503185608768972,2.3743150864814275,0.12887052228754436
291,2.59714566037261,2.44962055732929,0.14752510304332
292,2.490141533088428,2.356083537825413,0.13405799526301498
293,2.498848042189283,2.3682402727700276,0.13060776941925534
294,2.463317189585265,2.3324924487060197,0.13082474087924512
295,2.5854984313436553,2.439975281241362,0.1455231501022931
296,2.445177971444601,2.331920948947432,0.11325702249716896
297,2.486312425108724,2.3498153469421403,0.13649707816658374
298,2.5185783890000595,2.3824950505314964,0.13608333846856313
299,2.4144795866593127,2.294355712933709,0.12012387372560385
300,2.4949305280853524,2.3732229881340743,0.12170753995127814
301,2.4752198866092607,2.343913126788309,0.13130675982095186
302,2.551302049248361,2.41636131350678,0.13494073574158127
303,2.530850964648743,2.387708641853431,0.14314232279531236
304,2.3905136623905694,2.271986224296559,0.11852743809401023
305,2.328909986374014,2.2242434822300745,0.10466650414393941
306,2.49410020058773,2.3637300313288665,0.13037016925886347
307,2.494599487679497,2.3670836881695583,0.12751579950993852
308,2.4732320705723496,2.3504648933204266,0.12276717725192299
309,2.367443875376406,2.2531358518344433,0.1143080235419629
310,2.414240942909289,2.2922943860070912,0.12194655690219758
311,2.540575361489561,2.405425083123904,0.13515027836565707
312,2.496381270027911,2.366925276237467,0.12945599379044426
313,2.3498126924733236,2.2406572703407797,0.10915542213254392
314,2.4697700096142845,2.3327600482394235,0.137009961374861
315,2.473578219331229,2.3550113968444224,0.11856682248680661
316,2.469044367130581,2.3409580756648816,0.12808629146569928
317,2.530267110100886,2.3987140918806347,0.13155301822025134
318,2.3080354590422294,2.2060597691486845,0.10197568989354489
319,2.3926544941125694,2.2762658109836003,0.1163886831289691
320,2.4304512904140267,2.3051708680615888,0.12528042235243797
321,2.601105927554932,2.4471796452730357,0.1539262822818963
