replicate,slot_bits_per_event,matched_trigram_bits_per_event,delta_slot_minus_trigram_bits_per_event
216,2.8442234446863197,2.392746181652137,0.45147726303418256
217,2.7376904183452475,2.2687531409962447,0.4689372773490028
218,2.792275351319115,2.326749841522965,0.46552550979615015
219,2.604263560705532,2.1402733037215005,0.46399025698403173
220,2.7892277097509823,2.3531284090795968,0.4360993006713856
221,2.744679241659353,2.2811754840566794,0.4635037576026737
222,2.6201708533724033,2.1513414072796393,0.468829446092764
223,2.724338061094788,2.2410987030806977,0.4832393580140901
224,2.8077817808826713,2.324130644289509,0.48365113659316217
225,2.758854655358442,2.2857750126951366,0.4730796426633055
226,2.8305812738239045,2.3511918779597223,0.47938939586418217
227,2.683777316843183,2.2306553555991995,0.4531219612439834
228,2.7840368521260177,2.343216191257319,0.44082066086869887
229,2.789854233953746,2.3354835153732685,0.45437071858047773
230,2.8153830740424284,2.343391764566091,0.4719913094763375
231,2.843740613614594,2.39112440385897,0.45261620975562433
232,2.755771040446995,2.341227784503854,0.414543255943141
233,2.688781240754421,2.2201117961672154,0.4686694445872055
234,2.814338120141853,2.362914942371658,0.45142317777019514
235,2.8656693392061863,2.4145254981665065,0.45114384103967975
236,2.8463288136851186,2.3919332690009165,0.45439554468420207
237,2.7853789434618306,2.325040967302261,0.4603379761595696
238,2.8154009843325793,2.3401283031396853,0.475272681192894
239,2.7921748863114266,2.3196609733662683,0.4725139129451583
240,2.7531492278378566,2.284474426432576,0.46867480140528084
241,2.7593448443308395,2.292628381917514,0.4667164624133253
242,2.7510582353883675,2.28323649561496,0.4678217397734077
243,2.7900699763765844,2.3213983768849524,0.46867159949163195
244,2.804281341819623,2.3235332653182765,0.4807480765013463
245,2.8041681616002547,2.334874192913167,0.46929396868708784
246,2.9015419874591113,2.4550597542054806,0.4464822332536307
247,2.8639761182890204,2.405924208792212,0.4580519094968083
248,2.8621398669036098,2.3882584541228993,0.4738814127807105
249,2.807996759243071,2.340072868740745,0.46792389050232597
250,2.8450007375053348,2.375594227886367,0.4694065096189677
251,2.8826999323153455,2.423307787423883,0.45939214489146263
252,2.8803650650021626,2.4197821242486763,0.46058294075348627
253,2.7275817346653604,2.2716284084959533,0.4559533261694071
254,2.8536514784779494,2.3713984169284896,0.4822530615494598
255,2.8376266398119108,2.3663251799776983,0.47130145983421246
256,2.8454083787058573,2.3688459821827283,0.47656239652312893
257,2.6576409964465637,2.1886715397455294,0.4689694567010343
258,2.7285936259634744,2.2724655943023597,0.4561280316611147
259,2.823804241863714,2.340461424838968,0.483342817024746
260,2.8318568570901803,2.3804769187180406,0.45137993837213974
261,2.801889345866143,2.343171852240869,0.45871749362527403
262,2.781562141067116,2.324582716333003,0.4569794247341128
263,2.7434303068428134,2.2721189037101874,0.471311403132626
264,2.7808347956246564,2.315279348308413,0.4655554473162433
265,2.851172051208966,2.376194662879933,0.4749773883290329
266,2.7578465127831135,2.300998029598731,0.45684848318438265
267,2.770165579939092,2.2934079265083076,0.47675765343078425
268,2.822194721565793,2.3667478750448803,0.4554468465209127
269,2.7744132865487074,2.285407766442732,0.4890055201059753
270,2.941210557590232,2.5162637019027794,0.4249468556874527
271,2.6941849486167366,2.219806591650856,0.4743783569658806
272,2.8955938181201804,2.4344523857989584,0.46114143232122196
273,2.8029451175183375,2.3424439647122126,0.4605011528061249
274,2.848865380023319,2.376867805752908,0.4719975742704112
275,2.8007380098096295,2.33179145750198,0.4689465523076497
276,2.8174684577000875,2.3609231194084264,0.4565453382916611
277,2.7336906139422688,2.2723562706434257,0.46133434329884304
278,2.8529654116059517,2.3913693955289563,0.4615960160769954
279,2.9025184004512243,2.4447797398067217,0.45773866064450264
280,2.8421661510665475,2.383564387024478,0.4586017640420694
281,2.8403576002116973,2.3805629289178087,0.4597946712938885
282,2.8260507135794306,2.375985552408695,0.4500651611707358
283,2.659978345826682,2.210050913996706,0.44992743182997597
284,2.7965842652402007,2.330818859472889,0.4657654057673115
285,2.7667763243479735,2.304889606927028,0.46188671742094556
286,2.8944019207740785,2.421929490620605,0.4724724301534735
287,2.77013534794272,2.3038506139475103,0.46628473399520987
288,2.7603994967715515,2.3064364444118524,0.45396305235969914
289,2.8731389785410206,2.4199406942113173,0.4531982843297033
290,2.8492808187671197,2.3743150864814275,0.47496573228569217
291,2.8910540991214897,2.44962055732929,0.4414335417921995
292,2.8213620123219263,2.356083537825413,0.4652784744965133
293,2.832246467039337,2.3682402727700276,0.46400619426930945
294,2.797869908072277,2.3324924487060197,0.4653774593662572
295,2.9017791183350656,2.439975281241362,0.46180383709370343
296,2.7798033506599547,2.331920948947432,0.4478824017125227
297,2.8134408126403443,2.3498153469421403,0.46362546569820395
298,2.856009260999352,2.3824950505314964,0.4735142104678558
299,2.7588006619690657,2.294355712933709,0.4644449490353568
300,2.8402939157708897,2.3732229881340743,0.46707092763681546
301,2.812343743324183,2.343913126788309,0.46843061653587403
302,2.8355529178622776,2.41636131350678,0.41919160435549774
303,2.8347140935154638,2.387708641853431,0.447005451662033
304,2.719775935149947,2.271986224296559,0.4477897108533879
305,2.6839967919766763,2.2242434822300745,0.4597533097466018
306,2.8282915281257064,2.3637300313288665,0.4645614967968399
307,2.835180566505022,2.3670836881695583,0.46809687833546354
308,2.7983143189002893,2.3504648933204266,0.4478494255798626
309,2.7270825561837957,2.2531358518344433,0.4739467043493524
310,2.7518502032043637,2.2922943860070912,0.45955581719727245
311,2.8486716674744574,2.405425083123904,0.44324658435055353
312,2.799417486160005,2.366925276237467,0.43249220992253834
313,2.7032349845346846,2.2406572703407797,0.4625777141939049
314,2.8041038460340597,2.3327600482394235,0.4713437977946362
315,2.7856068075941343,2.3550113968444224,0.43059541074971186
316,2.799835190848685,2.3409580756648816,0.4588771151838036
317,2.8445251187294955,2.3987140918806347,0.44581102684886087
318,2.671461073424178,2.2060597691486845,0.46540130427549364
319,2.7368238131509823,2.2762658109836003,0.4605580021673821
320,2.754775002041451,2.3051708680615888,0.4496041339798622
321,2.910460016943942,2.4471796452730357,0.4632803716709062
322,2.82540770479879,2.3583600631253487,0.4670476416734415
323,2.8612397151128164,2.4003654244211177,0.4608742906916987
324,2.7128421504041387,2.248313703231915,0.46452844717222375
325,2.846874086357557,2.39278362713472,0.454090459222837
