replicate,copy_edit_bits_per_event,matched_trigram_bits_per_event,delta_copy_minus_trigram_bits_per_event
116,3.4883986541376766,2.366449466283409,1.1219491878542676
117,3.500523008972384,2.3946674576549234,1.1058555513174606
118,3.4744769430681317,2.3447165081656816,1.1297604349024502
119,3.5104584540408954,2.458146048162513,1.0523124058783826
120,3.4447304424297527,2.266584823749133,1.1781456186806198
121,3.5079410192625953,2.3866411128240683,1.121299906438527
122,3.421240721097653,2.2923871868767898,1.1288535342208634
123,3.4713935996976946,2.3264785306726266,1.144915069025068
124,3.4796821604828905,2.329114063813269,1.1505680966696215
125,3.4559825163009394,2.283459219619798,1.1725232966811414
126,3.4986523410838273,2.348342041175066,1.150310299908761
127,3.4186807587295567,2.252627649187755,1.1660531095418016
128,3.4152483603910344,2.2307889525728792,1.1844594078181552
129,3.4684042063034086,2.2933130074261743,1.1750911988772343
130,3.4645835822387316,2.3262704476294727,1.138313134609259
131,3.4388121954511854,2.2812862738552115,1.157525921595974
132,3.499913278847673,2.42287256771328,1.077040711134393
133,3.512731473215383,2.3959217552621164,1.1168097179532666
134,3.519365853605925,2.433244757024626,1.0861210965812993
135,3.492539917425993,2.4199389587462403,1.0726009586797525
136,3.4931149053630257,2.3643056145629804,1.1288092908000453
137,3.473387243024965,2.310845723946065,1.1625415190789
138,3.489339557344065,2.3787703847772392,1.1105691725668256
139,3.529229187674514,2.432277162233751,1.0969520254407632
140,3.459041473429898,2.4786560869065055,0.9803853865233925
141,3.4808091345872083,2.353040856245799,1.1277682783414091
142,3.419870388040077,2.257721608712621,1.162148779327456
143,3.4894748355084566,2.3427786966366924,1.1466961388717642
144,3.4768807070199457,2.2916993322599475,1.1851813747599982
145,3.5123801481298327,2.4127818791868414,1.0995982689429913
146,3.4315285141128906,2.2812427173635967,1.1502857967492939
147,3.513179196303817,2.4151903271400585,1.0979888691637583
148,3.5074971258944054,2.389534807542623,1.1179623183517826
149,3.377881737139653,2.238867007755256,1.1390147293843969
150,3.497841327320436,2.36164382263635,1.1361975046840858
151,3.5045551891536553,2.3531538836171975,1.1514013055364578
152,3.515341946713158,2.39135314270495,1.1239888040082078
153,3.4789133479510737,2.3901618603848096,1.088751487566264
154,3.491753288403043,2.3249343233467585,1.1668189650562844
155,3.4183221052298416,2.2665483139194285,1.1517737913104131
156,3.4738491804731795,2.302547577460343,1.1713016030128363
157,3.452818805076114,2.336122578951196,1.116696226124918
158,3.5155593460082453,2.4273724389200124,1.0881869070882328
159,3.4836109434337628,2.3326209940062594,1.1509899494275033
160,3.4579328203571915,2.2755003705247234,1.182432449832468
161,3.3729652101706042,2.2075693637171327,1.1653958464534715
162,3.5176966633545232,2.4176297267612528,1.1000669365932705
163,3.467841527101233,2.3215430049701524,1.1462985221310804
164,3.4413547130389306,2.3075313926970185,1.1338233203419121
165,3.422108227582333,2.2929945357723676,1.1291136918099656
166,3.4825298776747666,2.379854748511837,1.1026751291629298
167,3.4489036354466127,2.30336448591242,1.145539149534193
168,3.440209323206436,2.2594995903306776,1.1807097328757585
169,3.461951029515883,2.3195810415965092,1.1423699879193738
170,3.4996413045580512,2.418551720550253,1.081089584007798
171,3.476912455072337,2.3838962233577274,1.0930162317146097
172,3.4645881151010136,2.2858226850387577,1.1787654300622559
173,3.489303592398267,2.38810707932419,1.1011965130740768
174,3.491248653637365,2.396733823683297,1.094514829954068
175,3.423691805904154,2.2499335783858667,1.1737582275182872
176,3.4616792007406016,2.3202427311737766,1.141436469566825
177,3.469001418545591,2.339321666501238,1.129679752044353
178,3.474625982347068,2.361743151587707,1.1128828307593612
179,3.381785144757085,2.175136072301451,1.206649072455634
180,3.4991330040384794,2.38160097704279,1.1175320269956894
181,3.5355919759861845,2.4091528490985694,1.126439126887615
182,3.507488646592013,2.42784213225823,1.079646514333783
183,3.533148149081305,2.4663155854923415,1.0668325635889633
184,3.478387533451647,2.393798084129004,1.084589449322643
185,3.483351082707744,2.394477271898054,1.08887381080969
186,3.3927212856970614,2.246781960866885,1.1459393248301764
187,3.4419041323119113,2.312187394741237,1.1297167375706745
188,3.5005032120097326,2.456372653006836,1.0441305590028964
189,3.4873333837469382,2.4179694594534844,1.0693639242934538
190,3.4646198452979373,2.340322716703352,1.1242971285945855
191,3.5127738429428135,2.4530945806706668,1.0596792622721467
192,3.465443627950563,2.404132382525456,1.0613112454251072
193,3.4944814433900775,2.36280228952565,1.1316791538644275
194,3.4761787373205144,2.3806202120582123,1.0955585252623021
195,3.445802094558304,2.384369255336262,1.061432839222042
196,3.5068285289858356,2.363519861297299,1.1433086676885367
197,3.5165873593678385,2.3825845452615537,1.1340028141062848
198,3.5160348429124655,2.4408927946976164,1.075142048214849
199,3.48664078524697,2.327286756276256,1.1593540289707143
200,3.5137398814199265,2.3799415455299187,1.133798335890008
201,3.4491173559105723,2.2551322370584534,1.1939851188521189
202,3.44350150143086,2.263817192182023,1.1796843092488367
203,3.5372658513924566,2.506346448678383,1.0309194027140736
204,3.4660979023031064,2.3255255398998056,1.1405723624033008
205,3.4594028360794926,2.2890725748332694,1.1703302612462232
206,3.4386988560194416,2.25105909582921,1.1876397601902315
207,3.424076062750836,2.2330667194541314,1.1910093432967046
208,3.45860785233928,2.276240722313167,1.1823671300261127
209,3.5167887007068903,2.399097876222122,1.1176908244847685
210,3.4201053453684622,2.2511083182720246,1.1689970270964376
211,3.4892831078141726,2.3840059180885316,1.105277189725641
212,3.489157157298099,2.3258941788098797,1.1632629784882194
213,3.4415421745681094,2.2573656036715857,1.1841765708965237
214,3.4674386166453033,2.360327329043471,1.1071112876018323
215,3.4805196761093367,2.3710257451975476,1.109493930911789
216,3.4927601515390903,2.392746181652137,1.100013969886953
217,3.4458006092305116,2.2687531409962447,1.1770474682342669
218,3.486747341015427,2.326749841522965,1.1599974994924618
219,3.3360054827372543,2.1402733037215005,1.1957321790157538
220,3.4593824004864264,2.3531284090795968,1.1062539914068297
221,3.4102128635352225,2.2811754840566794,1.129037379478543
222,3.360548108685485,2.1513414072796393,1.2092067014058459
223,3.425514639880606,2.2410987030806977,1.1844159367999083
224,3.4808292293013547,2.324130644289509,1.1566985850118456
225,3.4664462365463566,2.2857750126951366,1.18067122385122
226,3.495417776008648,2.3511918779597223,1.1442258980489255
227,3.3896674195285925,2.2306553555991995,1.159012063929393
228,3.457771230153781,2.343216191257319,1.1145550388964622
229,3.4481037529386436,2.3354835153732685,1.112620237565375
230,3.4873343884193124,2.343391764566091,1.1439426238532215
231,3.522591909601798,2.39112440385897,1.1314675057428283
232,3.415187965818866,2.341227784503854,1.0739601813150124
233,3.409003551225878,2.2201117961672154,1.1888917550586626
234,3.4647385052450868,2.362914942371658,1.1018235628734288
235,3.499395016483543,2.4145254981665065,1.0848695183170363
236,3.5258711184589586,2.3919332690009165,1.133937849458042
237,3.4714655040896365,2.325040967302261,1.1464245367873755
238,3.5013660561312747,2.3401283031396853,1.1612377529915894
