view,order,leaf_group,folio,locus,total_bits,total_events,glyph_bits,glyph_events,boundary_bits,boundary_events,oov_events,bits_per_event,glyph_bits_per_glyph
token_reset_eot,3,f54,f54r,"f54r.1,@P0",86.21265539956855,37,84.19789005145665,31,2.0147653481118875,6,0,2.3300717675559066,2.7160609694018274
token_reset_eot,3,f54,f54r,"f54r.10,+P0",106.75154752771356,50,101.00442167456886,38,5.747125853144692,12,0,2.1350309505542713,2.6580110966991803
token_reset_eot,3,f54,f54r,"f54r.11,+P0",118.51070616791921,45,110.18742447171186,33,8.32328169620737,12,1,2.6335712481759823,3.3390128627791476
token_reset_eot,3,f54,f54r,"f54r.12,+P0",106.61709425585757,37,88.62573374352854,27,17.99136051232901,10,0,2.8815430879961506,3.2824345830936497
token_reset_eot,3,f54,f54r,"f54r.2,+P0",88.8897508577664,38,87.87986304918287,32,1.0098878085835208,6,0,2.339203969941221,2.746245720286965
token_reset_eot,3,f54,f54r,"f54r.3,+P0",99.86615270011194,41,93.23697726097552,31,6.629175439136416,10,0,2.43575982195395,3.007644427773404
token_reset_eot,3,f54,f54r,"f54r.4,+P0",95.8151414129757,36,91.36943538059192,28,4.445706032383778,8,0,2.661531705915992,3.263194120735426
token_reset_eot,3,f54,f54r,"f54r.5,+P0",48.106057491294315,20,40.383179416115226,16,7.7228780751790955,4,0,2.4053028745647156,2.5239487135072016
token_reset_eot,3,f54,f54r,"f54r.6,+P0",149.5167278778434,44,139.12075555075137,35,10.395972327092055,9,0,3.3981074517691683,3.9748787300214676
token_reset_eot,3,f54,f54r,"f54r.7,+P0",125.77071104996176,48,114.75748193759438,36,11.013229112367405,12,0,2.620223146874203,3.1877078315998437
token_reset_eot,3,f54,f54r,"f54r.8,+P0",123.94384337071695,41,115.35541583240436,32,8.588427538312596,9,0,3.0230205700174864,3.6048567447626363
token_reset_eot,3,f54,f54r,"f54r.9,+P0",94.7963291627882,43,84.7751372534409,31,10.0211919093473,12,0,2.2045657944834463,2.7346818468851906
token_reset_eot,3,f54,f54v,"f54v.1,@P0",109.92528602956648,42,106.0923624975207,33,3.83292353204577,9,0,2.6172687149896783,3.2149200756824454
token_reset_eot,3,f54,f54v,"f54v.10,+P0",62.64875371514581,27,60.76004035004182,21,1.888713365103983,6,0,2.320324211672067,2.893335254763896
token_reset_eot,3,f54,f54v,"f54v.11,+P0",30.87495475273255,15,30.77759297354263,12,0.09736177918992411,3,0,2.0583303168488367,2.564799414461886
token_reset_eot,3,f54,f54v,"f54v.12,+P0",32.93430793620176,14,28.98577354166198,10,3.9485343945397786,4,0,2.3524505668715543,2.898577354166198
token_reset_eot,3,f54,f54v,"f54v.13,+P0",37.79635640606652,16,33.74966357914411,12,4.046692826922414,4,0,2.3622722753791576,2.812471964928676
token_reset_eot,3,f54,f54v,"f54v.14,+P0",50.084466592738785,18,49.61061825626295,14,0.4738483364758271,4,0,2.782470366263266,3.543615589733068
token_reset_eot,3,f54,f54v,"f54v.15,+P0",61.10943165072677,25,59.41678195276113,20,1.6926496979656342,5,0,2.4443772660290706,2.9708390976380565
token_reset_eot,3,f54,f54v,"f54v.16,+P0",25.086158293779853,14,24.382026494609093,11,0.7041317991707635,3,0,1.7918684495557038,2.2165478631462814
token_reset_eot,3,f54,f54v,"f54v.2,+P0",102.33044700387546,39,99.11921599455474,31,3.211231009320743,8,0,2.623857615483986,3.1973940643404752
token_reset_eot,3,f54,f54v,"f54v.3,+P0",91.8555539423639,38,90.24435083725031,30,1.6112031051135824,8,0,2.417251419535892,3.0081450279083435
token_reset_eot,3,f54,f54v,"f54v.4,+P0",60.92126403129397,34,58.82853036062991,26,2.0927336706640576,8,0,1.7918018832733522,2.2626357831011505
token_reset_eot,3,f54,f54v,"f54v.5,+P0",69.30997244731036,31,66.76107618062265,24,2.548896266687701,7,0,2.2358055628164633,2.781711507525944
token_reset_eot,3,f54,f54v,"f54v.6,+P0",54.73306087121995,26,53.30215890689756,21,1.4309019643223928,5,0,2.105117725816152,2.538198043185598
token_reset_eot,3,f54,f54v,"f54v.7,+P0",55.58619759246173,28,52.821230220144834,22,2.7649673723169013,6,0,1.9852213425879188,2.4009650100065834
token_reset_eot,3,f54,f54v,"f54v.8,+P0",81.50126733641586,31,70.99924664204259,24,10.502020694373279,7,0,2.6290731398843827,2.958301943418441
token_reset_eot,3,f54,f54v,"f54v.9,+P0",64.46934413058266,30,63.167764654177184,24,1.3015794764054738,6,0,2.1489781376860884,2.6319901939240493
token_reset_eot,3,f66,f66r,"f66r.1,@L0",14.724515030603005,5,14.666410308688395,4,0.05810472191461011,1,0,2.944903006120601,3.6666025771720987
token_reset_eot,3,f66,f66r,"f66r.10,+L0",14.144691400222467,6,14.086344462466993,5,0.05834693775547275,1,0,2.3574485667037446,2.8172688924933986
token_reset_eot,3,f66,f66r,"f66r.11,+L0",13.07576792695375,5,13.017420989198277,4,0.05834693775547275,1,0,2.61515358539075,3.254355247299569
token_reset_eot,3,f66,f66r,"f66r.12,+L0",8.239822229154214,4,8.22377077882028,3,0.016051450333934823,1,0,2.0599555572885535,2.7412569262734263
token_reset_eot,3,f66,f66r,"f66r.13,+L0",8.20154219263312,6,7.629492598728034,5,0.5720495939050867,1,0,1.3669236987721867,1.5258985197456068
token_reset_eot,3,f66,f66r,"f66r.14,+L0",23.24025337828057,6,16.44861853855442,5,6.791634839726152,1,0,3.873375563046762,3.289723707710884
token_reset_eot,3,f66,f66r,"f66r.15,+L0",16.863374212115616,6,16.29132461821053,5,0.5720495939050867,1,0,2.810562368685936,3.2582649236421064
token_reset_eot,3,f66,f66r,"f66r.16,@L0",6.991071900047877,2,4.23431718641313,1,2.756754713634747,1,0,3.4955359500239385,4.23431718641313
token_reset_eot,3,f66,f66r,"f66r.17,+L0",7.732977067055748,2,2.133063221682629,1,5.599913845373118,1,0,3.866488533527874,2.133063221682629
token_reset_eot,3,f66,f66r,"f66r.18,+L0",6.776282198260471,2,4.843834499229374,1,1.9324476990310973,1,0,3.3881410991302356,4.843834499229374
token_reset_eot,3,f66,f66r,"f66r.19,+L0",11.030419170738057,2,3.676775786795278,1,7.35364338394278,1,0,5.515209585369028,3.676775786795278
token_reset_eot,3,f66,f66r,"f66r.2,+L0",16.584058217535965,5,16.18276629895391,4,0.40129191858205243,1,0,3.316811643507193,4.045691574738478
token_reset_eot,3,f66,f66r,"f66r.20,+L0",6.991071900047877,2,4.23431718641313,1,2.756754713634747,1,0,3.4955359500239385,4.23431718641313
token_reset_eot,3,f66,f66r,"f66r.21,+L0",9.87737321944153,2,3.4267074703418734,1,6.450665749099658,1,0,4.938686609720765,3.4267074703418734
token_reset_eot,3,f66,f66r,"f66r.22,+L0",7.732977067055748,2,2.133063221682629,1,5.599913845373118,1,0,3.866488533527874,2.133063221682629
token_reset_eot,3,f66,f66r,"f66r.23,+L0",14.46498451497417,2,8.418229429441928,1,6.046755085532241,1,0,7.232492257487085,8.418229429441928
token_reset_eot,3,f66,f66r,"f66r.24,+L0",27.420857494522814,2,25.084264625592475,1,2.336592868930337,1,1,13.710428747261407,25.084264625592475
token_reset_eot,3,f66,f66r,"f66r.25,+L0",14.224313514719356,2,11.570237881976913,1,2.654075632742443,1,0,7.112156757359678,11.570237881976913
token_reset_eot,3,f66,f66r,"f66r.26,+L0",8.862504503183095,3,8.498189384929374,2,0.3643151182537203,1,0,2.954168167727698,4.249094692464687
token_reset_eot,3,f66,f66r,"f66r.27,+L0",9.87737321944153,2,3.4267074703418734,1,6.450665749099658,1,0,4.938686609720765,3.4267074703418734
token_reset_eot,3,f66,f66r,"f66r.28,+L0",11.030419170738057,2,3.676775786795278,1,7.35364338394278,1,0,5.515209585369028,3.676775786795278
token_reset_eot,3,f66,f66r,"f66r.29,+L0",6.991071900047877,2,4.23431718641313,1,2.756754713634747,1,0,3.4955359500239385,4.23431718641313
token_reset_eot,3,f66,f66r,"f66r.3,+L0",10.362638772884113,4,10.042455441441499,3,0.3201833314426132,1,0,2.590659693221028,3.3474851471471663
token_reset_eot,3,f66,f66r,"f66r.30,+L0",14.46498451497417,2,8.418229429441928,1,6.046755085532241,1,0,7.232492257487085,8.418229429441928
token_reset_eot,3,f66,f66r,"f66r.31,+L0",14.46498451497417,2,8.418229429441928,1,6.046755085532241,1,0,7.232492257487085,8.418229429441928
token_reset_eot,3,f66,f66r,"f66r.32,+L0",6.991071900047877,2,4.23431718641313,1,2.756754713634747,1,0,3.4955359500239385,4.23431718641313
token_reset_eot,3,f66,f66r,"f66r.33,+L0",7.732977067055748,2,2.133063221682629,1,5.599913845373118,1,0,3.866488533527874,2.133063221682629
token_reset_eot,3,f66,f66r,"f66r.34,+L0",9.87737321944153,2,3.4267074703418734,1,6.450665749099658,1,0,4.938686609720765,3.4267074703418734
token_reset_eot,3,f66,f66r,"f66r.35,+L0",6.776282198260471,2,4.843834499229374,1,1.9324476990310973,1,0,3.3881410991302356,4.843834499229374
token_reset_eot,3,f66,f66r,"f66r.36,+L0",14.46498451497417,2,8.418229429441928,1,6.046755085532241,1,0,7.232492257487085,8.418229429441928
token_reset_eot,3,f66,f66r,"f66r.37,+L0",19.29914107128195,2,14.740155781015167,1,4.558985290266785,1,0,9.649570535640976,14.740155781015167
token_reset_eot,3,f66,f66r,"f66r.38,+L0",27.420857494522814,2,25.084264625592475,1,2.336592868930337,1,1,13.710428747261407,25.084264625592475
token_reset_eot,3,f66,f66r,"f66r.39,+L0",14.224313514719356,2,11.570237881976913,1,2.654075632742443,1,0,7.112156757359678,11.570237881976913
