source_id,language,variant_count,seed,reserved_test_encoded,train_cipher_glyph_alphabet_size,train_exact_cipher_token_recurrence_fraction,train_family_code_collision_count,train_max_realized_variants_per_target_word,train_mean_pairwise_hamming_distance_within_active_variant_family,train_mean_realized_variants_per_target_word_present,train_round_trip_accuracy,train_same_surface_probability_given_same_target_plaintext_word,train_targeted_token_fraction,train_targeted_tokens,train_targeted_variant_utilization_fraction,train_tokens,train_unique_cipher_tokens,validation_cipher_glyph_alphabet_size,validation_exact_cipher_token_recurrence_fraction,validation_family_code_collision_count,validation_max_realized_variants_per_target_word,validation_mean_pairwise_hamming_distance_within_active_variant_family,validation_mean_realized_variants_per_target_word_present,validation_round_trip_accuracy,validation_same_surface_probability_given_same_target_plaintext_word,validation_targeted_token_fraction,validation_targeted_tokens,validation_targeted_variant_utilization_fraction,validation_tokens,validation_unique_cipher_tokens
german_rem_v21,German,4,40814041440,False,60,0.7504421022847846,0,4,1.0,4.0,1.0,0.2499667975396977,0.43750442102284787,6185,1.0,14137,3528,56,0.543705703678704,0,4,1.0,3.71875,1.0,0.255201576089568,0.42996962537968275,1274,0.9296875,2963,1352
german_rem_v21,German,4,40814041441,False,60,0.7504421022847846,0,4,1.0,4.0,1.0,0.25089439127439345,0.43750442102284787,6185,1.0,14137,3528,56,0.5430307121160985,0,4,1.0,3.75,1.0,0.25010811590024506,0.42996962537968275,1274,0.9375,2963,1354
german_rem_v21,German,4,40814041442,False,60,0.7504421022847846,0,4,1.0,4.0,1.0,0.2496762760120525,0.43750442102284787,6185,1.0,14137,3528,56,0.5447181910226122,0,4,1.0,3.671875,1.0,0.24991590985536496,0.42996962537968275,1274,0.91796875,2963,1349
italian_old_ud218,Italian,1,40814041438,False,44,0.7533162173727,0,1,,1.0,1.0,1.0,0.47454000855798034,6654,1.0,14022,3459,44,0.6123893805309735,0,1,,1.0,1.0,1.0,0.47575221238938054,1344,1.0,2825,1095
italian_old_ud218,Italian,1,40814041439,False,44,0.7533162173727,0,1,,1.0,1.0,1.0,0.47454000855798034,6654,1.0,14022,3459,44,0.6123893805309735,0,1,,1.0,1.0,1.0,0.47575221238938054,1344,1.0,2825,1095
italian_old_ud218,Italian,1,40814041440,False,44,0.7533162173727,0,1,,1.0,1.0,1.0,0.47454000855798034,6654,1.0,14022,3459,44,0.6123893805309735,0,1,,1.0,1.0,1.0,0.47575221238938054,1344,1.0,2825,1095
italian_old_ud218,Italian,1,40814041441,False,44,0.7533162173727,0,1,,1.0,1.0,1.0,0.47454000855798034,6654,1.0,14022,3459,44,0.6123893805309735,0,1,,1.0,1.0,1.0,0.47575221238938054,1344,1.0,2825,1095
italian_old_ud218,Italian,1,40814041442,False,44,0.7533162173727,0,1,,1.0,1.0,1.0,0.47454000855798034,6654,1.0,14022,3459,44,0.6123893805309735,0,1,,1.0,1.0,1.0,0.47575221238938054,1344,1.0,2825,1095
italian_old_ud218,Italian,2,40814041438,False,44,0.7487519612038226,0,2,1.0,2.0,1.0,0.5002570090026582,0.47454000855798034,6654,1.0,14022,3523,44,0.5900884955752213,0,2,1.0,1.984375,1.0,0.4957748375584958,0.47575221238938054,1344,0.9921875,2825,1158
italian_old_ud218,Italian,2,40814041439,False,44,0.7487519612038226,0,2,1.0,2.0,1.0,0.4991288396143663,0.47454000855798034,6654,1.0,14022,3523,44,0.5900884955752213,0,2,1.0,1.984375,1.0,0.49877116789549875,0.47575221238938054,1344,0.9921875,2825,1158
italian_old_ud218,Italian,2,40814041440,False,44,0.7487519612038226,0,2,1.0,2.0,1.0,0.49929973391223775,0.47454000855798034,6654,1.0,14022,3523,44,0.5904424778761062,0,2,1.0,1.96875,1.0,0.49772750227249773,0.47575221238938054,1344,0.984375,2825,1157
italian_old_ud218,Italian,2,40814041441,False,44,0.7487519612038226,0,2,1.0,2.0,1.0,0.5003371157047855,0.47454000855798034,6654,1.0,14022,3523,44,0.5904424778761062,0,2,1.0,1.96875,1.0,0.4997811668854998,0.47575221238938054,1344,0.984375,2825,1157
italian_old_ud218,Italian,2,40814041442,False,44,0.7487519612038226,0,2,1.0,2.0,1.0,0.49992857152393655,0.47454000855798034,6654,1.0,14022,3523,44,0.5900884955752213,0,2,1.0,1.984375,1.0,0.5044944955055045,0.47575221238938054,1344,0.9921875,2825,1158
italian_old_ud218,Italian,4,40814041438,False,44,0.7396234488660676,0,4,1.0,4.0,1.0,0.2501959276422862,0.47454000855798034,6654,1.0,14022,3651,44,0.551504424778761,0,4,1.0,3.6875,1.0,0.24782008551324783,0.47575221238938054,1344,0.921875,2825,1267
italian_old_ud218,Italian,4,40814041439,False,44,0.7396234488660676,0,4,1.0,4.0,1.0,0.24999165555186176,0.47454000855798034,6654,1.0,14022,3651,44,0.5536283185840708,0,4,1.0,3.59375,1.0,0.24977275022724976,0.47575221238938054,1344,0.8984375,2825,1261
italian_old_ud218,Italian,4,40814041440,False,44,0.7396234488660676,0,4,1.0,4.0,1.0,0.24985280393484122,0.47454000855798034,6654,1.0,14022,3651,44,0.5518584070796461,0,4,1.0,3.671875,1.0,0.24845975154024846,0.47575221238938054,1344,0.91796875,2825,1266
italian_old_ud218,Italian,4,40814041441,False,44,0.7396234488660676,0,4,1.0,4.0,1.0,0.25096628709440977,0.47454000855798034,6654,1.0,14022,3651,44,0.5529203539823009,0,4,1.0,3.625,1.0,0.24684375315624685,0.47575221238938054,1344,0.90625,2825,1263
italian_old_ud218,Italian,4,40814041442,False,44,0.7396234488660676,0,4,1.0,4.0,1.0,0.24973931944016095,0.47454000855798034,6654,1.0,14022,3651,44,0.5539823008849557,0,4,1.0,3.578125,1.0,0.25085008248325086,0.47575221238938054,1344,0.89453125,2825,1260
latin_udante_ud218,Latin,1,40814041438,False,40,0.6948773448773449,0,1,,1.0,1.0,1.0,0.3625541125541126,5025,1.0,13860,4229,39,0.5371987425777157,0,1,,1.0,1.0,1.0,0.36220747467691233,1037,1.0,2863,1325
latin_udante_ud218,Latin,1,40814041439,False,40,0.6948773448773449,0,1,,1.0,1.0,1.0,0.3625541125541126,5025,1.0,13860,4229,39,0.5371987425777157,0,1,,1.0,1.0,1.0,0.36220747467691233,1037,1.0,2863,1325
latin_udante_ud218,Latin,1,40814041440,False,40,0.6948773448773449,0,1,,1.0,1.0,1.0,0.3625541125541126,5025,1.0,13860,4229,39,0.5371987425777157,0,1,,1.0,1.0,1.0,0.36220747467691233,1037,1.0,2863,1325
latin_udante_ud218,Latin,1,40814041441,False,40,0.6948773448773449,0,1,,1.0,1.0,1.0,0.3625541125541126,5025,1.0,13860,4229,39,0.5371987425777157,0,1,,1.0,1.0,1.0,0.36220747467691233,1037,1.0,2863,1325
latin_udante_ud218,Latin,1,40814041442,False,40,0.6948773448773449,0,1,,1.0,1.0,1.0,0.3625541125541126,5025,1.0,13860,4229,39,0.5371987425777157,0,1,,1.0,1.0,1.0,0.36220747467691233,1037,1.0,2863,1325
latin_udante_ud218,Latin,2,40814041438,False,40,0.6902597402597402,0,2,1.0,2.0,1.0,0.49944421731876293,0.3625541125541126,5025,1.0,13860,4293,39,0.516940272441495,0,2,1.0,1.935483870967742,1.0,0.4964389049632762,0.36220747467691233,1037,0.967741935483871,2863,1383
latin_udante_ud218,Latin,2,40814041439,False,40,0.6902597402597402,0,2,1.0,2.0,1.0,0.49974696971371113,0.3625541125541126,5025,1.0,13860,4293,39,0.5179881243450926,0,2,1.0,1.8870967741935485,1.0,0.5087358112619631,0.36220747467691233,1037,0.9435483870967742,2863,1380
latin_udante_ud218,Latin,2,40814041440,False,40,0.6902597402597402,0,2,1.0,2.0,1.0,0.4998154757300863,0.3625541125541126,5025,1.0,13860,4293,39,0.516940272441495,0,2,1.0,1.935483870967742,1.0,0.5141330959269975,0.36220747467691233,1037,0.967741935483871,2863,1383
latin_udante_ud218,Latin,2,40814041441,False,40,0.6902597402597402,0,2,1.0,2.0,1.0,0.4992011314542059,0.3625541125541126,5025,1.0,13860,4293,39,0.5176388403772267,0,2,1.0,1.903225806451613,1.0,0.4999443578900512,0.36220747467691233,1037,0.9516129032258065,2863,1381
latin_udante_ud218,Latin,2,40814041442,False,40,0.6902597402597402,0,2,1.0,2.0,1.0,0.49982652508756614,0.3625541125541126,5025,1.0,13860,4293,39,0.5179881243450926,0,2,1.0,1.8870967741935485,1.0,0.49972178945025597,0.36220747467691233,1037,0.9435483870967742,2863,1380
latin_udante_ud218,Latin,4,40814041438,False,40,0.681024531024531,0,4,1.0,4.0,1.0,0.25020165077400747,0.3625541125541126,5025,1.0,13860,4421,39,0.48340901152637095,0,4,1.0,3.4838709677419355,1.0,0.24961050523035833,0.36220747467691233,1037,0.8709677419354839,2863,1479
latin_udante_ud218,Latin,4,40814041439,False,40,0.681024531024531,0,4,1.0,4.0,1.0,0.2508447233793355,0.3625541125541126,5025,1.0,13860,4421,39,0.48515543136570033,0,4,1.0,3.403225806451613,1.0,0.2553416425550857,0.36220747467691233,1037,0.8508064516129032,2863,1474
latin_udante_ud218,Latin,4,40814041440,False,40,0.681024531024531,0,4,1.0,4.0,1.0,0.2507961062064241,0.3625541125541126,5025,1.0,13860,4421,39,0.4813133077191757,0,4,1.0,3.5806451612903225,1.0,0.2513354106387714,0.36220747467691233,1037,0.8951612903225806,2863,1485
latin_udante_ud218,Latin,4,40814041441,False,40,0.681024531024531,0,4,1.0,4.0,1.0,0.2487475553296576,0.3625541125541126,5025,1.0,13860,4421,39,0.4837582954942368,0,4,1.0,3.467741935483871,1.0,0.2516692632984643,0.36220747467691233,1037,0.8669354838709677,2863,1478
latin_udante_ud218,Latin,4,40814041442,False,40,0.681024531024531,0,4,1.0,4.0,1.0,0.25091322939571065,0.3625541125541126,5025,1.0,13860,4421,39,0.4837582954942368,0,4,1.0,3.467741935483871,1.0,0.24988871578010238,0.36220747467691233,1037,0.8669354838709677,2863,1478
